grp		expr	N	S	n	s	fn	fs
0	0.455	3155	963	24	5	7.60697305863708	5.19210799584631
1	10.04	30134	8552	327	120	10.8515298334108	14.0318054256314
2	11.44	63363	17545	1118	263	17.6443665861781	14.9900256483329
3	12.97	61107	16024	1126	248	18.4266941594253	15.4767848227659
4	14.65	68438	18344	1230	288	17.9724714339987	15.69995638901
5	16.77	64545	17314	1222	290	18.932527693857	16.7494513110777
6	19.06	68591	18061	1245	273	18.1510693822805	15.1154421128398
7	20.02	47935	14248	672	157	14.0189840408887	11.0190903986524
8	22.76	61650	15845	1276	287	20.6974858069749	18.1129693909751
9	26.23	68820	17181	1457	311	21.1711711711712	18.1013910715325
10	28.175	56851	16320	847	201	14.8985945717753	12.3161764705882
11	32.69	61592	14608	1245	259	20.2136641122224	17.7300109529025
12	37.175	60777	15407	1210	260	19.9088470967636	16.8754462257415
13	41.02	54313	14648	838	208	15.4290869589233	14.199890770071
14	45.06	57283	15192	1015	235	17.7190440444809	15.4686677198526
15	53.71	58299	14260	1062	207	18.2164359594504	14.5161290322581
16	6.92	55175	15495	861	233	15.6048935206162	15.0371087447564
17	7.92	63526	17708	1092	265	17.1898120454617	14.9649875762367
18	8.86	59933	16338	988	233	16.4850750004171	14.2612314848819
19	9.875	62158	16669	1165	283	18.7425592844043	16.9776231327614
