grp	N	S	n	s	dnds	fn	fs
0	20861	2660	369	61	0.0000	17.6885096591726	22.9323308270677
1	40880	5914	639	119	0.0089	15.6311154598826	20.1217450118363
2	48777	8065	785	151	0.0216	16.0936506960248	18.7228766274024
3	47625	9245	768	197	0.0333	16.1259842519685	21.308815575987
4	50366	10502	900	236	0.0447	17.8691974744868	22.4719101123595
5	55000	12586	1002	238	0.0571	18.2181818181818	18.9098998887653
6	50919	11701	932	221	0.0712	18.3035801959976	18.8872745919152
7	46728	11366	888	235	0.0861	19.0035952747817	20.6756994545135
8	52455	13849	981	274	0.102	18.701744352302	19.7848220088093
9	51649	14219	902	307	0.1218	17.4640360897597	21.5908291722343
10	49735	14454	932	271	0.14145	18.7393183874535	18.7491351874914
11	50317	15032	977	297	0.1661	19.41689687382	19.7578499201703
12	48609	15303	938	333	0.1923	19.2968380341089	21.7604391295824
13	46262	15295	930	282	0.2270	20.1028922225585	18.4373978424322
14	43767	14495	884	288	0.2665	20.1978659720794	19.8689203173508
15	43136	14876	859	280	0.3152	19.9137611275964	18.8222640494757
16	38763	13672	739	256	0.3845	19.064571885561	18.724400234055
17	35660	13172	856	244	0.4668	24.0044868199663	18.5241421196477
18	35073	13234	672	252	0.5901	19.1600376357882	19.0418618709385
19	21152	8205	461	182	0.7385	21.7946293494705	22.1815965874467
