grp	N	S	n	s	dnds	fn	fs
0	21707	2807	376	58	0	17.321601326761	20.6626291414321
1	40536	5951	617	133	0.0087	15.2210380895994	22.3491850109225
2	49043	8115	784	150	0.0215	15.9859714944029	18.4842883548983
3	48365	9300	819	200	0.0333	16.933733071436	21.505376344086
4	50249	10440	901	217	0.0448	17.9307050886585	20.7854406130268
5	55076	12486	944	258	0.0571	17.1399520662357	20.6631427198462
6	49856	11506	867	231	0.0710	17.3900834403081	20.0764818355641
7	46846	11444	844	227	0.086	18.0164795286684	19.8357217756029
8	53027	13964	990	292	0.1019	18.669734286307	20.910913778287
9	50321	14003	924	280	0.12155	18.3621152202858	19.9957152038849
10	48863	14288	915	292	0.1416	18.7258252665616	20.4367301231803
11	50358	15140	991	286	0.16595	19.679097660749	18.89035667107
12	47595	14980	950	330	0.1929	19.9600798403194	22.0293724966622
13	46700	15463	938	308	0.2274	20.0856531049251	19.9185151652331
14	43617	14451	869	300	0.2668	19.9234243528899	20.7598090097571
15	42936	14819	873	281	0.3151	20.3325880380101	18.9621431945475
16	38757	13638	764	283	0.3845	19.7125680522228	20.7508432321455
17	35660	13216	799	244	0.4647	22.4060572069546	18.4624697336562
18	34677	13080	719	268	0.58955	20.734204227586	20.4892966360856
19	21261	8250	450	188	0.7433	21.165514321998	22.7878787878788
