grp	N	S	n	s	dnds	fn	fs
0	21156	2679	353	56	0.0000	16.6855738324825	20.903322135125
1	41000	5880	653	117	0.0089	15.9268292682927	19.8979591836735
2	48897	7966	760	151	0.0215	15.5428758410536	18.955561134823
3	47620	9325	787	213	0.0333	16.5266694666107	22.8418230563003
4	51032	10607	903	248	0.04475	17.6947797460417	23.3807862732158
5	54805	12531	967	235	0.0569	17.6443755131831	18.7534913414731
6	49974	11518	964	223	0.0712	19.2900308160243	19.3610001736413
7	46658	11357	882	225	0.0859	18.9035106519782	19.8115699568548
8	52257	13840	1011	275	0.102	19.3466903955451	19.8699421965318
9	50558	13996	972	273	0.1217	19.2254440444638	19.5055730208631
10	49572	14441	921	264	0.1416	18.5790365528928	18.2812824596635
11	50797	15145	1008	296	0.1661	19.843691556588	19.5444040937603
12	47359	14924	883	315	0.1923	18.6448193585169	21.1069418386492
13	46044	15362	902	300	0.2274	19.5899574320215	19.5287071995834
14	43333	14309	865	270	0.26695	19.9616920130155	18.8692431336921
15	43065	14855	879	298	0.3156	20.4110066179032	20.0605856613935
16	38452	13533	793	257	0.38475	20.623114532404	18.9906155324023
17	35097	13036	745	206	0.4646	21.2268854887882	15.8023933722001
18	34942	13212	724	267	0.5895	20.7200503691832	20.2089009990917
19	21588	8368	476	169	0.751	22.0492866407263	20.1959847036329
