grp	N	S	n	s	dnds	fn	fs
0	20520	2822	340	66	0.0000	16.5692007797271	23.3876683203402
1	41706	5823	663	118	0.0089	15.896993238383	20.2644684870342
2	48423	8041	770	156	0.0216	15.9015343948124	19.4005720681507
3	48364	9459	794	188	0.0333	16.4171697957158	19.8752510836241
4	51019	10503	896	224	0.0446	17.5620847135381	21.3272398362373
5	55374	12599	984	258	0.0569	17.7700725972478	20.4778156996587
6	50959	11686	933	228	0.07115	18.3088365156302	19.5105254150265
7	47212	11484	926	211	0.086	19.613657544692	18.3733890630442
8	53167	14005	981	263	0.1019	18.451294976207	18.7790074973224
9	50783	13992	956	287	0.1215	18.8251974085816	20.5117209834191
10	49440	14407	986	274	0.1416	19.9433656957929	19.0185326577358
11	51266	15343	968	299	0.1661	18.8819100378418	19.4877142670925
12	47829	15086	927	313	0.1929	19.3815467603337	20.7477131114941
13	45550	15091	916	295	0.2275	20.1097694840834	19.5480750115963
14	42703	14192	875	284	0.26655	20.4903636746833	20.011273957159
15	43762	15065	901	285	0.3154	20.5886385448563	18.918021905078
16	38907	13678	749	264	0.3846	19.2510345182101	19.3010674075157
17	35163	13010	741	236	0.4646	21.073287262179	18.1398923904689
18	34883	13143	763	252	0.58955	21.87311871112	19.1737046336453
19	20985	8173	440	181	0.7391	20.967357636407	22.1460907867368
