grp	N	S	n	s	dnds	fn	fs
0	20079	2814	371	69	0.0000	18.4770157876388	24.5202558635394
1	41837	5791	666	108	0.0089	15.9189234409733	18.6496287342428
2	48325	8045	730	156	0.0216	15.1060527677186	19.3909260410193
3	46708	9281	786	213	0.0331	16.8279523850304	22.9501131343605
4	50833	10518	908	245	0.0448	17.8624122125391	23.2934017874121
5	55302	12648	987	240	0.0569	17.8474557882174	18.9753320683112
6	50344	11623	957	201	0.0712	19.0092165898618	17.2932977716596
7	46149	11337	864	231	0.0861	18.7219658064097	20.375760783276
8	52742	13894	982	256	0.10185	18.6189374691896	18.4252195192169
9	51758	14184	963	280	0.12155	18.6058193902392	19.7405527354766
10	49047	14350	948	258	0.1416	19.3283992904765	17.9790940766551
11	50976	15232	955	300	0.16595	18.7343063402385	19.6953781512605
12	48364	15222	942	328	0.1934	19.4772971631792	21.5477598213113
13	45887	15227	978	286	0.2274	21.3132259681391	18.7824259538977
14	43661	14499	937	298	0.26655	21.4608002565218	20.5531415959721
15	43256	14866	868	252	0.3150	20.0665803587942	16.9514327996771
16	38351	13614	755	280	0.38455	19.6865792287033	20.5670633171735
17	34734	12901	743	243	0.46325	21.3911441239132	18.8357491667313
18	34699	13121	729	261	0.58955	21.0092509870601	19.8917765414221
19	21472	8338	463	188	0.751	21.5629657228018	22.5473734708563
