grp	N	S	n	s	dnds	fn	fs
0	20669	2664	382	58	0	18.4817843146741	21.7717717717718
1	41822	6064	626	139	0.0088	14.968198555784	22.9221635883905
2	48210	7991	757	161	0.0215	15.7021364862062	20.1476661243899
3	48032	9309	847	219	0.0333	17.6340772818121	23.5256203673864
4	50568	10484	880	245	0.04475	17.4023097611137	23.3689431514689
5	54300	12400	908	240	0.0568	16.7219152854512	19.3548387096774
6	50177	11581	950	209	0.0710	18.9329772604978	18.0468007944046
7	47126	11389	871	216	0.08575	18.4823664219327	18.9656686276231
8	52921	13959	971	265	0.1019	18.3481037773285	18.9841679203381
9	51511	14148	977	278	0.12155	18.9668226204112	19.6494204127792
10	49446	14417	969	285	0.1415	19.5971362698702	19.7683290559756
11	50702	15169	976	301	0.1661	19.2497337383141	19.8431010613752
12	48060	15125	916	343	0.19225	19.0595089471494	22.6776859504132
13	45196	15086	893	283	0.2276	19.7583856978494	18.7591144107119
14	43754	14529	875	279	0.2665	19.9981715957398	19.2029733636176
15	43240	14895	882	260	0.3151	20.3977798334875	17.455521987244
16	39024	13731	785	274	0.3849	20.1158261582616	19.9548466972544
17	34698	12887	749	233	0.4679	21.5862585739812	18.08023589664
18	34970	13235	728	276	0.58955	20.817843866171	20.8537967510389
19	20992	8153	465	161	0.7426	22.1512957317073	19.7473322703299
