grp	N	S	n	s	dnds	fn	fs
0	18487	2602	321	67	0	17.3635527668091	25.7494235203689
1	41715	5950	665	122	0.0087	15.941507850893	20.5042016806723
2	49105	8027	768	147	0.0215	15.639955198045	18.3131929737137
3	48564	9455	827	211	0.0333	17.0290750350054	22.316234796404
4	50730	10545	912	238	0.0449	17.9775280898876	22.569938359412
5	54156	12392	912	247	0.05675	16.8402393086639	19.932214331827
6	51252	11782	880	228	0.0710	17.1700616561305	19.3515532167713
7	47411	11507	858	228	0.0859	18.097066081711	19.8140262448944
8	52865	13989	964	272	0.1019	18.23512721082	19.4438487382944
9	51251	14124	977	265	0.1215	19.0630426723381	18.7623902577174
10	49800	14453	956	274	0.1413	19.1967871485944	18.9580017989345
11	50786	15154	970	304	0.1661	19.09975190013	20.0607100435529
12	48253	15228	936	337	0.1929	19.3977576523739	22.1302863146835
13	45754	15217	943	302	0.2273	20.6102198714866	19.8462246172044
14	42910	14282	839	275	0.26655	19.552551852715	19.2550063016384
15	43804	15023	918	268	0.3158	20.9569902292028	17.8393130533182
16	38888	13747	802	261	0.3845	20.6233285332236	18.985960573216
17	35081	13018	779	248	0.46415	22.2057524015849	19.0505453986788
18	35068	13243	703	267	0.5895	20.0467662826509	20.1615948048025
19	21888	8458	461	210	0.7433	21.061769005848	24.8285646724994
