grp	N	S	n	s	dnds	fn	fs
0	21518	2746	372	46	0	17.2878520308579	16.7516387472688
1	40269	5803	609	122	0.0090	15.1232958355062	21.0236084783733
2	48326	8077	812	143	0.0216	16.8025493523155	17.7045932895877
3	48739	9409	805	217	0.0333	16.5165473234986	23.0630247635243
4	51112	10576	890	241	0.0448	17.4127406479887	22.7874432677761
5	54224	12403	964	241	0.0571	17.7781056358808	19.4307828751109
6	50761	11595	885	255	0.0710	17.4346447075511	21.9922380336352
7	46889	11439	874	219	0.086	18.6397662564781	19.145030159979
8	53134	14036	1000	274	0.1020	18.8203410245794	19.5212311199772
9	51500	14180	936	257	0.1217	18.1747572815534	18.1241184767278
10	48991	14292	951	283	0.14145	19.4117286848605	19.8012874335292
11	50613	15117	964	312	0.1660	19.0464900322052	20.6390156777138
12	47612	14973	924	313	0.193	19.4068722170881	20.9042943965805
13	46750	15502	921	325	0.2275	19.7005347593583	20.9650367694491
14	43346	14337	866	275	0.2666	19.9787754348729	19.1811397084467
15	43267	14942	894	289	0.3158	20.662398594772	19.3414536206666
16	38030	13397	748	273	0.3846	19.668682618985	20.3776964992162
17	35248	13041	789	232	0.4635	22.3842487517022	17.790046775554
18	34866	13196	738	284	0.5892	21.1667527103769	21.5216732343134
19	21259	8250	464	190	0.74325	21.8260501434686	23.030303030303
