grp	N	S	n	s	dnds	fn	fs
0	19793	2726	346	63	0	17.4809276006669	23.1107850330154
1	42441	5936	693	108	0.0088	16.328550222662	18.1940700808625
2	49040	8081	782	160	0.02155	15.9461663947798	19.7995297611682
3	48532	9385	776	218	0.0333	15.9894502596225	23.2285562067128
4	51534	10806	934	256	0.0448	18.1239569992626	23.6905422913196
5	55485	12590	916	243	0.0569	16.5089663873119	19.3010325655282
6	50045	11484	948	206	0.07105	18.9429513437906	17.9380006966214
7	46769	11349	824	224	0.086	17.6185079860591	19.7374217992775
8	52911	13872	996	250	0.1019	18.8240630492714	18.0219146482122
9	50530	13964	915	274	0.12155	18.1080546210172	19.6218848467488
10	49605	14415	937	281	0.1414	18.8892248765245	19.4935830731877
11	50932	15209	976	303	0.16585	19.1628053090395	19.9224143599185
12	48800	15336	908	331	0.1929	18.6065573770492	21.5832029212311
13	45388	15063	947	295	0.2274	20.8645456948973	19.5844121356967
14	43074	14305	907	257	0.2665	21.0567859961926	17.9657462425725
15	43807	15076	907	310	0.3153	20.7044536261328	20.5624834173521
16	38399	13592	745	252	0.3846	19.4015469152843	18.54031783402
17	35334	13085	749	246	0.46645	21.1977132506934	18.8001528467711
18	35178	13277	720	251	0.58935	20.4673375405083	18.9048730888002
19	21282	8237	478	174	0.7426	22.4602950850484	21.1241957023188
