grp	N	S	n	s	dnds	fn	fs
0	21002	2672	402	53	0.0000	19.1410341872203	19.8353293413174
1	42463	6079	659	132	0.0091	15.5193933542143	21.7140977134397
2	48162	7978	786	143	0.0216	16.3199202690918	17.9242918024568
3	48570	9356	811	200	0.0333	16.6975499279391	21.3766566908935
4	50545	10594	902	276	0.0446	17.8454842219804	26.0524825372853
5	54876	12562	960	238	0.0570	17.4939864421605	18.9460277025951
6	51108	11718	919	231	0.07115	17.9815293104798	19.7132616487455
7	46631	11371	875	219	0.086	18.7643413180073	19.2595198311494
8	52804	13965	995	276	0.1019	18.8432694492841	19.7636949516649
9	50919	14015	912	257	0.1215	17.9107995050963	18.3374955404923
10	49282	14400	943	270	0.1415	19.134775374376	18.75
11	50936	15263	949	291	0.1659	18.631223496152	19.0657144729083
12	47834	15027	946	304	0.1922	19.7767278504829	20.2302522126838
13	46050	15282	956	303	0.2273	20.7600434310532	19.8272477424421
14	43638	14455	867	283	0.2667	19.8680049498144	19.5780006918021
15	43470	15017	841	317	0.3153	19.346675868415	21.1094093360858
16	38234	13495	751	268	0.3844	19.6422032745724	19.8592071137458
17	35129	13086	759	239	0.4647	21.6060804463549	18.2637933669571
18	34824	13159	704	286	0.5896	20.2159430277969	21.7341743293563
19	21435	8290	445	190	0.74325	20.7604385351061	22.91917973462
