grp	N	S	n	s	dnds	fn	fs
0	21117	2727	395	60	0.0000	18.7053085192025	22.002200220022
1	40859	5908	628	128	0.0089	15.369930737414	21.665538253216
2	49075	8154	767	177	0.0217	15.6291390728477	21.7071376011773
3	47092	9280	763	221	0.0333	16.2023273592118	23.8146551724138
4	51112	10667	890	236	0.0448	17.4127406479887	22.1243086153558
5	55016	12530	1016	238	0.0568	18.4673549512869	18.9944134078212
6	50255	11598	900	234	0.0710	17.9086658043976	20.1758923952406
7	46727	11344	793	243	0.0861	16.9709161726625	21.4210155148096
8	52251	13893	1014	267	0.10195	19.4063271516335	19.2183113798316
9	50379	13963	915	268	0.1215	18.1623295420711	19.1935830408938
10	49540	14409	945	257	0.1413	19.0754945498587	17.83607467555
11	50440	15044	965	286	0.1661	19.131641554322	19.0109013560223
12	47941	15067	942	320	0.193	19.6491520827684	21.2384681754828
13	46455	15404	922	293	0.2276	19.8471639220751	19.0210334977928
14	43524	14417	838	299	0.2672	19.2537450601967	20.7394048692516
15	43542	14975	864	268	0.3152	19.8429102935097	17.8964941569282
16	39138	13776	754	280	0.38475	19.2651642904594	20.3252032520325
17	35736	13217	794	244	0.46415	22.2184911573763	18.4610728607097
18	35286	13278	719	277	0.58955	20.3763532279091	20.8615755384847
19	21216	8194	467	193	0.74325	22.0116892911011	23.5538198681962
