grp	N	S	n	s	dnds	fn	fs
0	20267	2690	356	66	0.0000	17.5655005674249	24.5353159851301
1	42814	6030	670	101	0.0089	15.6490867473256	16.7495854063018
2	49517	8073	793	158	0.0215	16.014702021528	19.5714108757587
3	48580	9473	836	200	0.0333	17.2087278715521	21.1126359125937
4	51249	10622	923	224	0.04485	18.010107514293	21.0883072867633
5	54314	12372	951	242	0.0569	17.5092977869426	19.5602974458455
6	50519	11647	941	234	0.07075	18.6266553178012	20.0910105606594
7	46680	11395	817	229	0.0861	17.5021422450728	20.0965335673541
8	53083	13969	986	264	0.1019	18.5746849273779	18.8989906220918
9	51171	14127	935	284	0.1216	18.2720681636083	20.1033481984852
10	48895	14386	937	292	0.1416	19.1635136517026	20.2975114694842
11	50529	15159	896	299	0.166	17.7323913000455	19.7242562174286
12	48461	15276	921	315	0.19295	19.0049730711294	20.6205813040063
13	45598	15139	921	315	0.2275	20.1982543093995	20.8071867362441
14	42829	14251	836	283	0.2668	19.519484461463	19.8582555610133
15	43559	14978	866	285	0.3152	19.8810808328933	19.0279075978101
16	38316	13559	742	278	0.3845	19.3652782127571	20.50298694594
17	35143	13042	799	245	0.46415	22.7356799362604	18.7854623523999
18	34871	13144	709	284	0.5896	20.3320810989074	21.6068167985393
19	21210	8259	439	178	0.7432	20.6977840641207	21.5522460346289
