grp	N	S	n	s	dnds	fn	fs
0	21352	2675	378	57	0	17.7032596478082	21.3084112149533
1	41056	6005	650	114	0.00905	15.832034294622	18.9841798501249
2	48271	8006	746	152	0.0216	15.4544136230863	18.9857606794904
3	48259	9348	831	217	0.0333	17.2195859839615	23.2135216089003
4	51558	10732	871	235	0.0448	16.8935955622794	21.8971300782706
5	55225	12576	963	234	0.0570	17.4377546401086	18.6068702290076
6	50188	11595	868	228	0.0709	17.2949709093807	19.6636481241915
7	47138	11438	851	242	0.0861	18.0533751962323	21.1575450253541
8	52464	13922	1007	266	0.1019	19.1941140591644	19.1064502226692
9	51015	14035	899	257	0.12155	17.6222679604038	18.3113644460278
10	49608	14393	952	305	0.1414	19.1904531527173	21.1908566664351
11	51021	15166	1006	304	0.16585	19.7173712784932	20.0448371356983
12	47498	14934	918	328	0.1926	19.32712956335	21.9633052095889
13	45761	15227	901	287	0.2276	19.6892550425034	18.8480987719183
14	43615	14453	870	312	0.2665	19.9472658489052	21.5872137272539
15	43373	14928	909	283	0.3159	20.9577386853572	18.9576634512326
16	38675	13678	746	279	0.38445	19.2889463477699	20.3977189647609
17	34986	12988	800	253	0.46415	22.866289372892	19.4795195565137
18	34789	13142	748	260	0.5892	21.5010491822128	19.7838989499315
19	21506	8276	445	182	0.7391	20.6918999349019	21.9913001449976
