grp	N	S	n	s	dnds	fn	fs
0	20594	2621	381	44	0.0000	18.5005341361562	16.7874856924838
1	40850	5925	615	131	0.0089	15.0550795593635	22.1097046413502
2	47721	7965	745	168	0.0220	15.6115756166048	21.0922787193974
3	48338	9405	812	185	0.0331	16.7983780876329	19.6703880914407
4	51214	10603	909	228	0.0448	17.7490529933221	21.5033481090257
5	54585	12479	971	244	0.0569	17.7887698085555	19.5528487859604
6	50866	11729	900	243	0.07125	17.6935477529194	20.7178787620428
7	47456	11513	832	233	0.0861	17.5320296695887	20.2379918353166
8	53154	14060	951	280	0.1020	17.8914098656733	19.9146514935989
9	51062	14087	921	279	0.1215	18.0368963221182	19.8054944274863
10	49597	14415	887	263	0.1413	17.8841462185213	18.2448838015956
11	50877	15182	1000	295	0.1661	19.6552469681782	19.4309050191016
12	47667	15058	957	335	0.1923	20.0767826798414	22.2473103997875
13	45346	15154	901	289	0.2274	19.8694482424029	19.0708723769302
14	43406	14412	940	297	0.2673	21.6559922591347	20.6078268109908
15	42918	14814	856	256	0.3154	19.945011417121	17.2809504522749
16	38534	13637	738	294	0.3845	19.1519177868895	21.5589939136174
17	35456	13114	757	284	0.4661	21.3504061371841	21.656245234101
18	35375	13325	747	262	0.5895	21.1166077738516	19.6622889305816
19	20862	8044	455	188	0.751	21.8099894545106	23.3714569865738
