grp	N	S	n	s	dnds	fn	fs
0	19111	2687	337	59	0.0000	17.6338234524619	21.9575735020469
1	41801	5925	626	107	0.0087	14.9757182842516	18.0590717299578
2	48631	7972	713	158	0.0215	14.6614299520882	19.8193677872554
3	48605	9471	789	185	0.0333	16.2328978500154	19.533312216239
4	51499	10700	869	253	0.0447	16.8741140604672	23.6448598130841
5	54747	12501	935	226	0.0570	17.0785613823589	18.0785537157027
6	50653	11673	935	238	0.0707	18.4589264209425	20.3889317227791
7	46873	11461	826	230	0.0861	17.6220852089689	20.0680568885787
8	53306	14033	1006	281	0.1019	18.8721719881439	20.0242286040048
9	50742	13978	945	265	0.1215	18.6236253990777	18.9583631420804
10	49810	14495	956	276	0.14155	19.1929331459546	19.0410486374612
11	50238	15113	930	269	0.1660	18.5118834348501	17.799245682525
12	48819	15292	951	315	0.1929	19.4801204449087	20.5990060162176
13	45345	15085	925	317	0.2276	20.3991619803727	21.0142525687769
14	43441	14440	920	295	0.2667	21.1781496742709	20.4293628808864
15	43335	14861	842	287	0.3154	19.4300219222338	19.3122939236929
16	38468	13563	823	290	0.38495	21.3944057398357	21.381700213817
17	35074	12967	803	247	0.46325	22.8944517306267	19.0483535127632
18	34538	13051	692	282	0.5875	20.0359024842203	21.6075396521339
19	21075	8193	448	191	0.7432	21.2574139976275	23.3125839130965
