grp	N	S	n	s	dnds	fn	fs
0	21007	2738	379	65	0.0000	18.041605179226	23.7399561723886
1	41177	5866	637	120	0.0091	15.4698011025573	20.4568700988749
2	49643	8109	745	147	0.0216	15.0071510585581	18.1280059193489
3	48366	9310	817	215	0.0333	16.892031592441	23.093447905478
4	51148	10622	894	235	0.0446	17.478689293814	22.1238938053097
5	55202	12561	968	224	0.0569	17.5355965363574	17.8329750816018
6	50560	11648	889	218	0.0712	17.5830696202532	18.7156593406593
7	47235	11482	854	225	0.0859	18.0798136974701	19.5958892179063
8	53082	13980	1018	279	0.1019	19.177875739422	19.9570815450644
9	50814	13916	867	285	0.1215	17.06222694533	20.4800229951135
10	49064	14317	959	286	0.1415	19.545899233654	19.9762520081023
11	50915	15152	1001	310	0.1659	19.6602180104095	20.4593453009504
12	47642	15020	917	350	0.1930	19.2477225977079	23.3022636484687
13	45854	15207	964	286	0.2273	21.0232476992193	18.8071282961794
14	43306	14417	895	293	0.2666	20.6668821872258	20.3232295207047
15	42548	14760	864	291	0.315	20.3064773902416	19.7154471544715
16	38890	13710	767	253	0.3850	19.7222936487529	18.4536834427425
17	35169	13028	759	228	0.46755	21.581506440331	17.5007675775253
18	35246	13270	717	270	0.5895	20.3427339272542	20.3466465712133
19	21588	8347	474	179	0.7432	21.9566425792107	21.4448304780161
