grp	N	S	n	s	dnds	fn	fs
0	18919	2506	325	58	0	17.178497806438	23.1444533120511
1	42750	5976	686	113	0.0087	16.046783625731	18.908969210174
2	47648	7958	695	152	0.0215	14.5861316319678	19.1002764513697
3	48308	9443	842	203	0.0332	17.429825287737	21.4974054855448
4	50496	10473	882	233	0.0446	17.4667300380228	22.2476845221045
5	55612	12607	960	252	0.057	17.2624613392793	19.9888950583009
6	50932	11644	873	246	0.0709	17.1405010602372	21.1267605633803
7	47058	11498	881	242	0.0861	18.7215776276085	21.0471386328057
8	52199	13773	996	266	0.1020	19.0808253031667	19.3131489145429
9	51169	14150	971	279	0.1215	18.976333326819	19.7173144876325
10	49250	14378	937	251	0.14145	19.0253807106599	17.4572263179858
11	50705	15256	954	305	0.16595	18.8147125530027	19.9921342422653
12	48444	15303	935	306	0.1929	19.3006357856494	19.9960792001568
13	45419	15125	933	290	0.22775	20.5420638939651	19.1735537190083
14	42940	14284	885	279	0.2668	20.6101537028412	19.5323438812658
15	43701	15041	867	298	0.3148	19.8393629436397	19.8125124659265
16	38786	13708	754	278	0.3846	19.4400041251998	20.2801283921797
17	35116	12980	782	236	0.4675	22.2690511447773	18.1818181818182
18	34694	13152	721	260	0.5896	20.7816913587364	19.7688564476886
19	21712	8398	461	182	0.751	21.2324981577008	21.671826625387
