grp	N	S	n	s	dnds	fn	fs
0	19162	2663	328	61	0	17.1172111470619	22.9064964325948
1	41599	5933	700	91	0.0087	16.8273275799899	15.3379403337266
2	48417	7983	779	158	0.0215	16.0893900902576	19.7920581235125
3	49021	9440	819	211	0.0333	16.7071255176353	22.3516949152542
4	51625	10764	870	243	0.0446	16.8523002421307	22.5752508361204
5	54399	12486	925	228	0.0569	17.0039890439162	18.2604517059106
6	50476	11611	880	229	0.0710	17.434028052936	19.7226767720265
7	46750	11403	845	226	0.086	18.0748663101604	19.8193457861966
8	52590	13950	980	280	0.1018	18.6347214299296	20.0716845878136
9	50847	14036	935	281	0.1215	18.3884988298228	20.0199487033343
10	49379	14430	1003	281	0.14145	20.312278498957	19.4733194733195
11	50794	15244	927	303	0.1659	18.2501870299642	19.8766727892941
12	48217	15164	919	324	0.1929	19.0596677520377	21.3663940912688
13	45539	15126	940	308	0.2275	20.6416478183535	20.3622900965225
14	43033	14279	910	299	0.2668	21.1465619408361	20.939841725611
15	43836	15106	862	284	0.3150	19.6642029382243	18.8004766318019
16	39046	13765	788	279	0.38455	20.1813245915075	20.2687976752634
17	35280	13094	734	250	0.4654	20.8049886621315	19.0927142202536
18	34859	13168	732	266	0.5903	20.9988812071488	20.2004860267315
19	21609	8369	471	180	0.7433	21.7964736915174	21.5079459911578
