grp	N	S	n	s	dnds	fn	fs
0	20068	2661	332	66	0.0000	16.5437512457644	24.8027057497182
1	41767	6034	647	108	0.0089	15.490698398257	17.8985747431223
2	49099	8015	788	167	0.0215	16.0492067048209	20.8359326263256
3	47863	9333	801	216	0.0332	16.735265236195	23.1436837029894
4	50776	10528	895	232	0.0448	17.6264376870963	22.0364741641337
5	54388	12423	976	246	0.057	17.9451349562403	19.8019801980198
6	51075	11684	894	239	0.0712	17.503671071953	20.4553235193427
7	47767	11600	872	230	0.0861	18.2552808424226	19.8275862068966
8	52598	13886	1020	257	0.102	19.3923723335488	18.5078496327236
9	50776	13959	955	262	0.1215	18.8080983141642	18.769252811806
10	49647	14377	952	282	0.14135	19.1753781698793	19.6146623078528
11	50759	15214	1033	310	0.1661	20.3510707460746	20.3759695017747
12	48331	15136	910	331	0.1929	18.8284951687323	21.8683932346723
13	46392	15402	902	330	0.2276	19.4430074150716	21.4257888585898
14	43016	14381	844	281	0.2665	19.6206062860331	19.5396703984424
15	43085	14816	890	275	0.3151	20.6568411280028	18.5610151187905
16	38673	13643	768	259	0.38445	19.8588162283764	18.9840944073884
17	35438	13117	792	224	0.46465	22.348891020938	17.0770755508119
18	34683	13046	722	261	0.58955	20.8171150131188	20.0061321477848
19	21667	8404	446	197	0.7433	20.5842987030969	23.4412184673965
