grp	N	S	n	s	dnds	fn	fs
0	19667	2593	358	55	0	18.2030813037067	21.210952564597
1	41792	5905	641	102	0.00885	15.3378637059724	17.2734970364098
2	48079	7940	783	143	0.02145	16.285696457913	18.0100755667506
3	47932	9292	791	206	0.03325	16.5025452724693	22.1696082651743
4	50032	10476	874	224	0.0448	17.4688199552287	21.3822069492173
5	55002	12584	949	250	0.057	17.253918039344	19.8664971392244
6	49534	11525	891	220	0.0711	17.987644850002	19.0889370932755
7	47275	11508	849	225	0.086	17.9587519830777	19.5516162669447
8	53211	14015	1011	255	0.1019	18.9998308620398	18.194791295041
9	50261	13938	885	262	0.1215	17.6080857921649	18.7975319271058
10	48667	14286	937	279	0.14135	19.2532927856658	19.5296094078118
11	50815	15230	999	309	0.1661	19.6595493456656	20.2889034799737
12	47528	14941	963	315	0.1930	20.2617404477361	21.0829261762934
13	45898	15301	937	303	0.22715	20.414832890322	19.8026272792628
14	43314	14385	886	269	0.2665	20.4552800480214	18.7000347584289
15	43257	14942	903	272	0.3150	20.8752340661627	18.203721054745
16	38534	13603	742	283	0.38475	19.2557222193388	20.8042343600676
17	34971	12956	727	231	0.4646	20.7886534557205	17.8295770299475
18	34694	13033	728	274	0.5899	20.9834553525105	21.023555589657
19	21356	8308	461	191	0.74635	21.5864394081289	22.9898892633606
