grp	N	S	n	s	dnds	fn	fs
0	19951	2599	336	59	0	16.8412610896697	22.7010388611004
1	40831	5914	632	126	0.0089	15.4784355024369	21.3053770713561
2	48476	8001	780	157	0.0215	16.0904365046621	19.6225471816023
3	47296	9178	811	192	0.0333	17.1473274695535	20.9195903246895
4	50311	10584	903	249	0.0448	17.9483611933772	23.5260770975057
5	54669	12575	975	234	0.0569	17.8346046205345	18.6083499005964
6	50303	11609	926	206	0.0712	18.4084448243644	17.7448531311913
7	46831	11381	848	225	0.086	18.1076637270184	19.7697917581935
8	52759	13957	1020	267	0.1019	19.3331943365113	19.1301855699649
9	51370	14141	933	276	0.12155	18.1623515670625	19.5177144473517
10	49610	14452	936	265	0.14145	18.8671638782504	18.3365624135068
11	51183	15386	998	301	0.1660	19.498661665006	19.5632393084622
12	48744	15282	936	343	0.1929	19.2023633677991	22.4447061902892
13	45778	15185	936	296	0.2267	20.4465026868802	19.4929206453737
14	43410	14406	862	306	0.2667	19.8571757659525	21.2411495210329
15	43594	15019	914	259	0.3152	20.966188007524	17.2448232239164
16	38702	13577	771	248	0.3846	19.9214510877991	18.2661854607056
17	35006	12954	764	247	0.46465	21.8248300291379	19.067469507488
18	34511	13032	724	271	0.58955	20.9788183477732	20.7949662369552
19	20768	8031	458	179	0.7433	22.0531587057011	22.2886315527332
