grp	N	S	n	s	dnds	fn	fs
0	20353	2822	372	81	0	18.2774038225323	28.7030474840539
1	42422	5723	643	119	0.0086	15.1572297392862	20.7932902323956
2	49566	8175	786	148	0.0215	15.8576443529839	18.1039755351682
3	48361	9504	843	208	0.0333	17.4314013357871	21.8855218855219
4	51552	10611	879	252	0.0448	17.0507448789572	23.7489397794741
5	53544	12226	901	236	0.0569	16.8272822351711	19.3031244887944
6	50570	11615	951	230	0.07105	18.8056159778525	19.8019801980198
7	46883	11419	862	228	0.0861	18.3861954226479	19.9667221297837
8	52397	13746	1012	293	0.1018	19.3140828673397	21.315291721228
9	51242	14134	918	256	0.1215	17.9149916084462	18.1123531908872
10	48767	14294	913	274	0.1416	18.7216765435643	19.1688820484119
11	51023	15299	947	293	0.1661	18.5602571389373	19.1515785345447
12	48282	15236	986	320	0.1930	20.4216892423678	21.0028878970858
13	45720	15130	933	297	0.2274	20.4068241469816	19.6298744216788
14	42477	14119	874	290	0.2668	20.5758410433882	20.5396982789149
15	43477	15054	844	270	0.3156	19.412562964326	17.9354324432045
16	38773	13723	784	275	0.3845	20.2202563639646	20.0393499963565
17	35161	12960	723	246	0.46415	20.562555103666	18.9814814814815
18	35009	13210	747	262	0.5901	21.337370390471	19.8334595003785
19	21299	8220	409	180	0.73715	19.2027794732147	21.8978102189781
