grp	N	S	n	s	dnds	fn	fs
0	19527	2644	344	71	0	17.6166333794234	26.8532526475038
1	41670	5996	639	119	0.0086	15.3347732181425	19.8465643762508
2	48039	7943	775	158	0.0216	16.1327254938696	19.891728566033
3	48567	9385	775	215	0.0332	15.957337286635	22.9088971763452
4	51926	10766	907	250	0.0448	17.4671648114625	23.2212520899127
5	55052	12514	973	242	0.0569	17.6741989391848	19.338341058015
6	50550	11595	911	219	0.07125	18.0217606330366	18.8874514877102
7	47356	11487	881	246	0.0861	18.6037672100684	21.4155131888221
8	52810	13985	1011	290	0.1019	19.1441014959288	20.7365033964962
9	51449	14190	919	249	0.1215	17.8623491224319	17.5475687103594
10	49295	14407	973	255	0.14155	19.7383101734456	17.6997292982578
11	50471	15096	974	291	0.1661	19.2982108537576	19.2766295707472
12	48860	15339	943	329	0.1926	19.3000409332788	21.4485950844253
13	45744	15165	954	296	0.2276	20.8551941238195	19.5186284207056
14	43621	14480	857	282	0.2666	19.6465005387313	19.475138121547
15	43403	15009	916	287	0.3149	21.1045319447964	19.121860217203
16	38713	13655	777	276	0.38445	20.0707772582853	20.2123764188942
17	35307	13091	785	239	0.4646	22.2335514203982	18.2568176609885
18	34875	13190	686	270	0.5896	19.6702508960573	20.470053070508
19	21550	8340	472	183	0.7494	21.9025522041763	21.9424460431655
