grp	N	S	n	s	dnds	fn	fs
0	20327	2707	351	48	0.0000	17.2676735376593	17.7318064277798
1	41523	5869	702	126	0.0089	16.906292897912	21.4687340262396
2	48632	8021	755	144	0.0215	15.5247573614081	17.9528737065204
3	48826	9367	782	213	0.0333	16.0160570188015	22.7394042916622
4	51000	10589	862	229	0.0446	16.9019607843137	21.6262158844083
5	55594	12643	970	267	0.05695	17.4479260351837	21.1184054417464
6	50083	11558	911	228	0.0707	18.1898049238265	19.7265962969372
7	47144	11444	887	217	0.0859	18.8146954013236	18.9619014330654
8	52813	13942	996	269	0.1019	18.8589930509534	19.2942189069
9	50864	13966	929	259	0.1215	18.2643913180245	18.5450379493055
10	49388	14445	984	276	0.14145	19.9238681461084	19.1069574247144
11	50894	15197	930	304	0.1661	18.2732738633238	20.0039481476607
12	48269	15214	980	310	0.193	20.3028859102115	20.3759695017747
13	44963	14924	945	281	0.2273	21.0172808753864	18.8287322433664
14	43221	14316	843	290	0.2662	19.5044075796488	20.2570550433082
15	42773	14776	883	275	0.3150	20.6438641198887	18.6112615051435
16	38653	13647	761	260	0.3846	19.6879931699997	19.0518062577856
17	35553	13184	830	241	0.4647	23.3454279526341	18.2797330097087
18	35121	13261	714	269	0.5892	20.3297172631759	20.285046376593
19	21454	8294	456	206	0.7433	21.2547776638389	24.8372317337835
