grp	N	S	n	s	dnds	fn	fs
0	20439	2948	354	66	0.0000	17.319829737267	22.3880597014925
1	41509	5675	663	105	0.0087	15.9724397118697	18.5022026431718
2	50419	8206	821	165	0.0215	16.2835439021004	20.1072386058981
3	47357	9351	819	201	0.0332	17.2941698165002	21.4950272698107
4	50868	10505	859	235	0.0449	16.8868443815365	22.3702998572108
5	55165	12619	938	230	0.0569	17.0035348499955	18.226483873524
6	50413	11557	906	233	0.0707	17.9715549560629	20.1609414207839
7	46849	11459	814	225	0.0861	17.3749706503874	19.6352212234925
8	51909	13768	1055	270	0.1020	20.3240285884914	19.6106914584544
9	50644	13964	877	278	0.1215	17.3169575862886	19.9083357204239
10	48624	14203	888	293	0.1415	18.2625863770977	20.6294444835598
11	51073	15320	1035	278	0.16595	20.2651107238658	18.1462140992167
12	48074	15216	908	315	0.1929	18.8875483629405	20.7018927444795
13	45592	15093	928	312	0.2275	20.354448148798	20.671834625323
14	42837	14243	883	281	0.26655	20.6130214534164	19.7289896791406
15	43830	15060	912	295	0.3156	20.807665982204	19.5883134130146
16	38934	13733	770	268	0.3844	19.7770586120101	19.5150367727372
17	35171	13098	769	230	0.46645	21.8646043615479	17.5599328141701
18	34844	13153	713	269	0.58955	20.4626334519573	20.4516079981753
19	21633	8352	446	177	0.74635	20.6166504876809	21.1925287356322
