grp	N	S	n	s	dnds	fn	fs
0	20286	2739	379	60	0.0000	18.6828354530218	21.9058050383352
1	42170	5923	655	106	0.0088	15.5323689826891	17.8963363160561
2	47783	7806	729	148	0.0216	15.2564719670176	18.959774532411
3	48145	9349	813	215	0.0333	16.8864887319555	22.9971119905872
4	50966	10681	903	252	0.04475	17.7176941490405	23.5932965078176
5	55386	12606	967	231	0.057	17.4592857400787	18.3246073298429
6	50421	11640	907	234	0.0710	17.9885365224807	20.1030927835052
7	47103	11473	853	223	0.0861	18.1092499416173	19.4369389000261
8	52804	13892	1029	279	0.1019	19.4871600636315	20.0835012957098
9	51542	14137	918	267	0.1215	17.8107174731287	18.8866096059984
10	49640	14404	944	284	0.1416	19.016921837228	19.7167453485143
11	50468	15082	987	291	0.1661	19.5569469763018	19.2945232727755
12	48022	15177	959	319	0.1929	19.9700137437008	21.0186466363576
13	45708	15202	944	292	0.22695	20.6528397654677	19.2079989475069
14	42914	14234	856	273	0.2668	19.9468704851564	19.1794295349164
15	43265	14875	895	294	0.3152	20.6864671212296	19.7647058823529
16	38814	13707	780	318	0.38455	20.0958417066007	23.1998249069818
17	35134	12955	740	237	0.4636	21.0622189332271	18.294094944037
18	34491	12996	693	273	0.5899	20.0921979646864	21.0064635272392
19	21278	8238	448	194	0.7432	21.0546103957139	23.5494051954358
