grp	N	S	n	s	dnds	fn	fs
0	20472	2844	364	59	0	17.7803829620946	20.7454289732771
1	43143	6020	704	106	0.0086	16.317826762163	17.6079734219269
2	49253	8036	773	159	0.0216	15.6944754634235	19.7859631657541
3	47668	9315	814	201	0.0331	17.0764454141143	21.5780998389694
4	51260	10655	879	246	0.0448	17.1478735856418	23.0877522290005
5	55186	12562	941	231	0.0570	17.0514260863262	18.3887915936953
6	50027	11551	903	228	0.0711	18.0502528634537	19.7385507748247
7	46755	11397	830	221	0.0861	17.752112073575	19.3910678248662
8	52671	13889	1001	254	0.10195	19.0047654306924	18.2878536971704
9	51297	14110	855	289	0.1215	16.667641382537	20.4819277108434
10	49164	14404	964	276	0.14145	19.6078431372549	19.1613440710914
11	51024	15300	917	306	0.166	17.9719347757918	20
12	48303	15191	973	344	0.1930	20.1436763762085	22.644987163452
13	45478	15115	908	291	0.22695	19.9656976999868	19.2523982798545
14	43379	14419	889	319	0.2667	20.4937873164434	22.1235869339067
15	43358	14970	880	269	0.315	20.2961391208082	17.9692718770875
16	38478	13599	765	277	0.3845	19.881490721971	20.3691447900581
17	35366	13086	767	243	0.46415	21.6874964655319	18.5694635488308
18	34766	13153	758	260	0.5895	21.80291088995	19.7673534554854
19	21522	8342	470	179	0.7526	21.8381191339095	21.457684008631
