grp	N	S	n	s	dnds	fn	fs
0	20354	2647	375	65	0	18.4238970226982	24.5561012466944
1	39650	5835	649	119	0.0091	16.3682219419924	20.3941730934019
2	49070	7981	769	164	0.02155	15.6714897085796	20.5488034080942
3	48725	9388	808	215	0.03325	16.5828630066701	22.9015764806135
4	50985	10619	913	219	0.0447	17.9072276159655	20.6234108673133
5	55273	12541	910	261	0.0569	16.4637345539413	20.8117375009967
6	50751	11739	911	227	0.07095	17.9503852140845	19.3372518953914
7	46584	11305	845	233	0.0861	18.1392752876524	20.6103494029191
8	53254	14052	1029	294	0.1019	19.3224922071581	20.9222886421862
9	51001	14112	933	270	0.1215	18.293758945903	19.1326530612245
10	49108	14316	942	284	0.1416	19.182210637778	19.8379435596535
11	50682	15114	924	304	0.1661	18.2313247306736	20.1138017731904
12	47793	15073	933	304	0.1923	19.5216872763794	20.1685132355868
13	46191	15307	954	285	0.2275	20.6533740339027	18.6189325145358
14	43647	14433	872	297	0.26695	19.978463582835	20.5778424443983
15	42923	14858	888	267	0.3150	20.6882091186543	17.9701171086283
16	37996	13524	816	271	0.3846	21.4759448362986	20.0384501626738
17	35163	13077	803	251	0.4630	22.8365042800671	19.1940047411486
18	34865	13134	720	275	0.5895	20.6510827477413	20.9380234505863
19	21014	8173	452	172	0.7433	21.5094698772247	21.0449039520372
