grp	N	S	n	s	dnds	fn	fs
0	19688	2699	355	66	0	18.0312880942706	24.4535012967766
1	42879	6042	653	125	0.0087	15.2288999277035	20.6885137371731
2	48666	7925	766	163	0.0216	15.7399416430362	20.5678233438486
3	48628	9392	825	190	0.0333	16.9655342600971	20.2299829642249
4	50134	10522	877	249	0.0448	17.4931184425739	23.6647025280365
5	54453	12451	979	231	0.0571	17.9788074118965	18.5527266886194
6	50713	11596	903	232	0.07105	17.8060852246958	20.0068989306657
7	46642	11459	874	225	0.0861	18.7384760516273	19.6352212234925
8	53481	14062	1018	254	0.1019	19.0347974046858	18.0628644574029
9	51381	14113	978	272	0.1216	19.0342733695335	19.2730106993552
10	49558	14438	923	246	0.14135	18.6246418338109	17.0383709655077
11	50646	15214	967	293	0.1661	19.0933143782332	19.2585776258709
12	48134	15200	944	281	0.1929	19.6119167324552	18.4868421052632
13	45305	15058	954	283	0.2274	21.0572784460876	18.7939965466861
14	42912	14185	895	289	0.2668	20.8566368381805	20.3736341205499
15	42855	14775	893	286	0.3150	20.8377085520943	19.3570219966159
16	39056	13723	768	279	0.38445	19.6640721015977	20.3308314508489
17	35360	13114	769	254	0.4661	21.7477375565611	19.3686136952875
18	34682	13090	723	248	0.58955	20.8465486419468	18.9457601222307
19	21723	8404	484	184	0.74325	22.2805321548589	21.8943360304617
