grp	N	S	n	s	dnds	fn	fs
0	19300	2728	375	62	0.0000	19.4300518134715	22.7272727272727
1	41631	5778	604	97	0.00885	14.5084192068411	16.7878158532364
2	49670	8105	783	147	0.0215	15.7640426816992	18.1369524984577
3	48685	9414	798	196	0.0333	16.3910855499641	20.8200552368812
4	51986	10671	878	225	0.0448	16.889162466818	21.0851841439415
5	54737	12503	958	255	0.0569	17.5018725907521	20.3951051747581
6	50891	11663	900	228	0.0707	17.6848558684247	19.549001114636
7	46621	11415	885	221	0.0861	18.9828618004762	19.3604905825668
8	52971	14009	1001	246	0.1019	18.8971323931963	17.5601399100578
9	50996	14084	895	274	0.1215	17.5503961094988	19.4547003692133
10	48941	14354	973	253	0.1416	19.8810813019759	17.6257489201616
11	50979	15252	960	299	0.1660	18.831283469664	19.6039863624443
12	48587	15252	952	334	0.1930	19.5937184843682	21.8987673747705
13	45661	15128	906	336	0.2275	19.8418781892644	22.2104706504495
14	42968	14249	870	275	0.26695	20.2476261403835	19.2995999719279
15	43580	14982	905	265	0.315	20.766406608536	17.6878921372313
16	39035	13769	781	268	0.3846	20.007685410529	19.4640133633525
17	35212	13017	751	237	0.46645	21.3279563785073	18.206960129062
18	35242	13298	721	248	0.5895	20.4585437829862	18.6494209655587
19	21491	8322	455	199	0.7494	21.1716532501978	23.9125210285989
