grp	N	S	n	s	dnds	fn	fs
0	20887	2636	368	56	0.0000	17.6186144491789	21.2443095599393
1	41818	6074	625	117	0.0089	14.945717155292	19.2624300296345
2	49593	8115	800	154	0.0216	16.1313088540721	18.977202711029
3	48262	9346	757	215	0.0332	15.6852181840786	23.0044939011342
4	52214	10807	901	231	0.0448	17.2559083770636	21.3750346997317
5	55512	12650	975	224	0.0571	17.5637699956766	17.7075098814229
6	51303	11732	887	242	0.0711	17.2894372648773	20.6273440163655
7	46742	11357	878	236	0.0867	18.7839630311069	20.7801355991899
8	53148	14036	1032	250	0.1019	19.4174757281553	17.8113422627529
9	50842	14022	930	293	0.1215	18.2919633373982	20.8957352731422
10	49249	14328	949	292	0.1416	19.2694267903917	20.3796761585706
11	50778	15262	959	257	0.1660	18.8861317893576	16.8392084916787
12	47704	15018	903	322	0.1929	18.9292302532282	21.4409375416167
13	45381	15193	968	293	0.2274	21.3305127696613	19.2851971302574
14	43481	14419	915	277	0.2662	21.0436742485223	19.2107635758374
15	43030	14822	877	277	0.3152	20.3811294445736	18.6884361084874
16	38648	13575	760	275	0.38445	19.6646657006831	20.2578268876611
17	35388	13130	791	232	0.46415	22.3522097886289	17.6694592536177
18	34902	13188	734	276	0.5895	21.030313449086	20.9281164695177
19	21088	8167	484	179	0.7433	22.9514415781487	21.917472756214
