grp	N	S	n	s	dnds	fn	fs
0	19994	2872	351	74	0	17.555266579974	25.7660167130919
1	42028	5760	648	107	0.0088	15.4182925668602	18.5763888888889
2	48625	8002	816	168	0.0216	16.7814910025707	20.994751312172
3	49120	9526	773	225	0.0332	15.7369706840391	23.6195674994751
4	50273	10416	870	213	0.0448	17.3055119049987	20.4493087557604
5	54511	12517	947	227	0.0569	17.3726403845095	18.1353359431174
6	50657	11597	876	237	0.0712	17.2927729632627	20.4363197378632
7	46786	11464	858	233	0.0861	18.3388193049203	20.324494068388
8	52220	13797	1035	250	0.1019	19.8199923400996	18.1198811335798
9	50267	13849	912	282	0.1215	18.1431157618318	20.3624810455629
10	49082	14270	992	292	0.1413	20.211075343303	20.4625087596356
11	51284	15393	993	302	0.166	19.3627642149598	19.6193074774248
12	48371	15237	907	328	0.1930	18.7509044675529	21.5265472205815
13	45413	15069	918	326	0.2275	20.2144760310924	21.633817771584
14	42517	14066	864	276	0.2662	20.3212832514053	19.6217830228921
15	43706	15074	894	302	0.3152	20.4548574566421	20.0344964840122
16	38828	13727	743	261	0.38455	19.1356752858762	19.0136227872077
17	35208	12961	721	240	0.4668	20.4783003862758	18.5170897307307
18	35050	13220	747	266	0.58975	21.3124108416548	20.1210287443268
19	21414	8343	464	193	0.7494	21.6680676193145	23.1331655279875
