grp	N	S	n	s	dnds	fn	fs
0	19908	2695	352	62	0	17.6813341370303	23.0055658627087
1	42289	5938	679	120	0.0087	16.0561848234766	20.2088245200404
2	48471	7960	745	159	0.0215	15.3700150605517	19.9748743718593
3	48256	9395	799	205	0.0332	16.5575265251989	21.8201170835551
4	51179	10671	900	246	0.04465	17.5853377361809	23.0531346640427
5	54518	12414	974	236	0.05675	17.8656590483877	19.01079426454
6	50425	11622	872	244	0.0712	17.2930094199306	20.9946652899673
7	47192	11451	855	225	0.0859	18.1174775385659	19.6489389572963
8	52899	14017	1035	271	0.10195	19.5655872511768	19.3336662623957
9	51306	14111	939	262	0.1218	18.3019529879546	18.5670753313018
10	49285	14370	935	274	0.14145	18.9712894389774	19.0675017397356
11	50183	15074	958	322	0.16595	19.0901301237471	21.3612843306355
12	48666	15336	954	313	0.1929	19.6030082603871	20.4094940010433
13	45687	15220	879	314	0.2275	19.2396086414078	20.6307490144547
14	42945	14329	904	311	0.2668	21.0501804633834	21.7042361644218
15	43203	14919	913	293	0.3153	21.1327917042798	19.6393860178296
16	38382	13501	768	261	0.38475	20.0093793965922	19.3319013406414
17	35529	13178	764	237	0.4647	21.5035604717273	17.9845196539687
18	35086	13181	743	257	0.58935	21.1765376503449	19.4977619300508
19	21565	8294	466	172	0.7426	21.6090888012984	20.7378828068483
