grp	N	S	n	s	dnds	fn	fs
0	20921	2692	369	56	0	17.6377802208307	20.8023774145617
1	41004	5939	637	120	0.009	15.5350697492928	20.2054217881798
2	48892	8125	740	162	0.0215	15.1354004745153	19.9384615384615
3	48209	9368	805	193	0.0333	16.6981269057645	20.602049530316
4	50571	10551	886	256	0.0448	17.5199224852188	24.2631030234101
5	54709	12554	950	230	0.05675	17.3646018022629	18.320853911104
6	51412	11692	923	227	0.0707	17.9530070800591	19.414984604858
7	47512	11564	867	206	0.0861	18.2480215524499	17.8139052231062
8	52968	14003	1027	259	0.1019	19.389065095907	18.4960365635935
9	50890	14057	946	272	0.1215	18.5891137748084	19.3497901401437
10	49454	14419	950	288	0.1415	19.2097706960003	19.9736458839032
11	50653	15160	979	289	0.1660	19.327581781928	19.0633245382586
12	47832	15027	928	335	0.1920	19.4012376651614	22.2932055633194
13	46137	15337	917	321	0.2273	19.8755879229252	20.9297776618635
14	43973	14571	900	297	0.26655	20.4671048143179	20.3829524397776
15	42817	14768	871	286	0.3158	20.3423873695028	19.3661971830986
16	38945	13736	739	267	0.3846	18.9754782385415	19.4379732090856
17	35396	13087	773	248	0.46465	21.8386258334275	18.9501031558035
18	34924	13224	729	253	0.58935	20.8738976062307	19.1318814277072
19	21398	8261	469	185	0.74325	21.9179362557248	22.3943832465803
