grp	N	S	n	s	dnds	fn	fs
0	21137	2738	409	53	0.0000	19.3499550551166	19.3571950328707
1	40396	5880	651	124	0.0091	16.1154569759382	21.0884353741497
2	49328	8084	797	171	0.0216	16.157152124554	21.1528946066304
3	48682	9361	735	192	0.0333	15.0979828273284	20.5106292062814
4	50970	10593	875	235	0.0448	17.1669609574259	22.1844614367979
5	54828	12514	935	248	0.05685	17.0533304151164	19.8178040594534
6	51326	11736	906	240	0.07095	17.6518723454	20.4498977505112
7	46099	11221	863	238	0.0859	18.7205796221176	21.2102308172177
8	52870	13906	997	281	0.1019	18.8575751844146	20.2071048468287
9	50501	13968	903	294	0.1215	17.8808340428902	21.0481099656357
10	49043	14318	926	277	0.1416	18.8813898007871	19.3462774130465
11	50702	15181	1003	291	0.166	19.7822571101732	19.1686977142481
12	47944	15000	939	331	0.1929	19.5853495745036	22.0666666666667
13	46606	15461	943	303	0.2275	20.2334463373815	19.5976974322489
14	43495	14431	867	291	0.26685	19.9333256696172	20.1649227357771
15	42779	14800	901	285	0.3150	21.0617358984548	19.2567567567568
16	39042	13735	764	263	0.38475	19.5686696378259	19.14816163087
17	35470	13144	802	242	0.46415	22.6106568931491	18.4114424832623
18	34733	13101	725	263	0.5896	20.8735208591253	20.0748034501183
19	21080	8231	456	181	0.74325	21.6318785578748	21.9900376624954
