grp	N	S	n	s	dnds	fn	fs
0	18896	2632	353	63	0.0000	18.6812023708721	23.936170212766
1	41381	5888	628	101	0.0089	15.1760469780817	17.1535326086957
2	48120	8060	766	158	0.0216	15.9185369908562	19.6029776674938
3	48578	9399	787	223	0.0333	16.2007493103874	23.7259282902436
4	51235	10600	899	244	0.0447	17.5465990045867	23.0188679245283
5	55567	12654	933	230	0.0570	16.7905411485234	18.1760708076498
6	51019	11667	937	226	0.0709	18.3657068935103	19.3708751178538
7	46841	11424	850	199	0.0859	18.146495591469	17.4194677871148
8	52623	13963	1048	296	0.1019	19.9152461851282	21.1988827615842
9	50537	13957	926	263	0.1215	18.3232087381522	18.8435910295909
10	49218	14323	908	282	0.1414	18.4485350887887	19.6886127207987
11	50785	15275	955	308	0.166	18.8047651865708	20.1636661211129
12	47985	15123	921	315	0.1926	19.193497968115	20.8292005554453
13	45281	15088	938	317	0.2277	20.7150902144387	21.0100742311771
14	43516	14395	896	284	0.2667	20.5901277690964	19.7290725946509
15	43103	14877	844	270	0.3154	19.5810036424379	18.1488203266788
16	38752	13686	774	257	0.38495	19.9731626754748	18.7783136051439
17	34843	12980	742	220	0.46715	21.2955256436013	16.9491525423729
18	34968	13224	761	253	0.5885	21.7627545184168	19.1318814277072
19	21397	8263	471	193	0.74325	22.0124316492966	23.3571342127557
