grp	N	S	n	s	dnds	fn	fs
0	20138	2726	338	59	0.0000	16.7841890952428	21.6434336023478
1	42047	5935	634	109	0.00865	15.0783646871358	18.3656276326874
2	48940	8011	817	146	0.0215	16.69391091132	18.2249407065285
3	48867	9442	803	212	0.0332	16.4323572144801	22.4528701546283
4	51196	10642	933	243	0.0448	18.2240800062505	22.8340537492952
5	55295	12614	966	242	0.0570	17.469933990415	19.1850325035675
6	50054	11516	917	223	0.0707	18.3202141686978	19.3643626259118
7	47186	11403	850	229	0.0861	18.0138176577798	20.0824344470753
8	52236	13873	983	263	0.1019	18.8184393904587	18.9576875946082
9	50334	13951	935	298	0.1215	18.5759129018159	21.3604759515447
10	49279	14377	963	273	0.1415	19.5417926500132	18.9886624469639
11	50798	15208	971	281	0.1661	19.1149257844797	18.4771173066807
12	47862	15173	910	320	0.1929	19.0129956959592	21.0900942463587
13	45443	15117	999	285	0.2275	21.9835838302929	18.8529470132963
14	42989	14342	846	282	0.2671	19.6794528832957	19.662529633245
15	43122	14819	867	289	0.3156	20.1057464867121	19.5019906876307
16	38897	13725	759	266	0.38455	19.513072987634	19.3806921675774
17	35356	13090	733	220	0.46465	20.7319832560244	16.8067226890756
18	34805	13137	721	268	0.5892	20.7154144519466	20.4003958285758
19	21690	8367	486	203	0.7553	22.4066390041494	24.2619815943588
