grp	N	S	n	s	dnds	fn	fs
0	19669	2882	382	69	0.0000	19.4214245767451	23.941707147814
1	41708	5708	617	117	0.0089	14.7933250215786	20.4975473020322
2	48893	8048	759	145	0.0216	15.5236945984088	18.0168986083499
3	49071	9420	861	202	0.0333	17.5460047686006	21.4437367303609
4	51417	10604	871	236	0.04475	16.9399225936947	22.255752546209
5	55317	12555	942	237	0.05695	17.0291230543956	18.8769414575866
6	51415	11782	996	237	0.0709	19.3717786638141	20.1154303174334
7	46278	11356	884	213	0.0859	19.1019490902805	18.7566044381825
8	52544	13886	1020	272	0.1019	19.4123020706456	19.5880743194584
9	50785	14061	913	256	0.1216	17.9777493354337	18.2063864590001
10	49538	14388	938	281	0.14145	18.9349590213573	19.5301640255769
11	50733	15169	1004	287	0.166	19.7898803540102	18.920166128288
12	48600	15298	952	319	0.1930	19.5884773662551	20.8523990064061
13	45416	15086	945	301	0.2273	20.8076448828607	19.9522736311812
14	43291	14382	842	284	0.2666	19.4497701600795	19.7469058545404
15	42841	14886	857	256	0.3152	20.0042015825961	17.1973666532312
16	38493	13615	782	263	0.3846	20.3153820175097	19.3169298567756
17	35001	12998	761	230	0.4654	21.7422359361161	17.6950300046161
18	34811	13111	738	236	0.58955	21.2001953405533	18.0001525436656
19	21166	8139	440	196	0.74325	20.7880563167344	24.0815825039931
