grp	N	S	n	s	dnds	fn	fs
0	19350	2729	361	68	0	18.656330749354	24.9175522169293
1	42762	6052	673	109	0.0089	15.7382722978345	18.0105750165235
2	49014	8102	777	170	0.0215	15.8526135389889	20.9824734633424
3	48869	9466	838	199	0.0333	17.1478851623729	21.022607225861
4	50402	10471	885	233	0.04475	17.5588270306734	22.2519339127113
5	53578	12283	949	220	0.0568	17.7124939340774	17.9109338109582
6	50119	11639	954	235	0.07095	19.0346974201401	20.1907380359137
7	47223	11461	855	217	0.0861	18.10558414332	18.9337754122677
8	52871	13930	1029	274	0.1019	19.4624652455978	19.6697774587222
9	51138	14094	909	267	0.1215	17.775431186202	18.9442315879097
10	49397	14409	1009	284	0.1415	20.4263416806689	19.7099035325144
11	50251	15096	915	300	0.1661	18.2085928638236	19.8728139904611
12	48460	15258	916	335	0.19295	18.9021873710277	21.9556953729191
13	45806	15218	942	312	0.2270	20.5649914858315	20.5020370613747
14	42350	14083	865	279	0.26695	20.4250295159386	19.8111197898175
15	43401	14955	854	275	0.315	19.6769659685261	18.3884988298228
16	38721	13661	809	297	0.38475	20.8930554479481	21.7407217626821
17	35233	13097	783	232	0.4647	22.2234836658814	17.7139803008323
18	34414	12997	710	277	0.58935	20.6311384901494	21.3126106024467
19	21422	8303	442	194	0.74635	20.6329941181962	23.3650487775503
