grp	N	S	n	s	dnds	fn	fs
0	19552	2672	345	60	0	17.6452536824877	22.4550898203593
1	41640	5952	613	124	0.0089	14.7214217098943	20.8333333333333
2	47772	7838	761	147	0.0216	15.9298333751989	18.7547843837714
3	48936	9450	775	211	0.0333	15.8370116069969	22.3280423280423
4	50864	10649	898	238	0.04455	17.6549229317395	22.3495163865152
5	54740	12461	981	237	0.0569	17.9210814760687	19.0193403418666
6	50638	11620	898	224	0.07095	17.733717761365	19.2771084337349
7	47619	11559	885	237	0.0859	18.5850185850186	20.5035037633013
8	53434	14073	1020	274	0.102	19.0889695699367	19.4699069139487
9	50898	14029	914	266	0.1216	17.9574835946403	18.9607242141279
10	48835	14229	951	279	0.1414	19.4737380976758	19.6078431372549
11	50602	15131	967	311	0.1660	19.1099166040868	20.5538298856652
12	48368	15275	920	333	0.1930	19.0208402249421	21.8003273322422
13	45521	15179	929	318	0.2275	20.4081632653061	20.9499967059754
14	43005	14264	867	282	0.2668	20.160446459714	19.7700504767246
15	43780	15043	906	281	0.315	20.6943809958885	18.67978461743
16	37913	13482	763	285	0.38385	20.1250230791549	21.1392968402314
17	35061	13019	750	234	0.4654	21.3912894669291	17.9737307012827
18	34619	13076	735	270	0.58955	21.2311158612323	20.6485163658611
19	21492	8327	460	183	0.7433	21.4033128605993	21.9767022937432
