grp	N	S	n	s	dnds	fn	fs
0	19843	2655	330	56	0.0000	16.630549816056	21.0922787193974
1	42331	5919	614	123	0.0086	14.5047364815384	20.7805372529143
2	47893	7883	752	161	0.0215	15.7016683022571	20.4236965622225
3	47880	9373	843	182	0.03325	17.6065162907268	19.4174757281553
4	50935	10653	879	253	0.0448	17.257288701286	23.7491786351263
5	55094	12557	978	225	0.057	17.7514792899408	17.9182925858087
6	49877	11576	900	233	0.0707	18.0443891974257	20.1278507256393
7	47324	11488	853	243	0.0859	18.0246809229989	21.1525069637883
8	51823	13693	1003	267	0.1019	19.3543407367385	19.499014094793
9	50724	13987	932	257	0.1215	18.3739452724549	18.3742046185744
10	49368	14400	929	307	0.1416	18.817857721601	21.3194444444444
11	50309	15126	978	294	0.16615	19.4398616549723	19.4367314557715
12	47915	15112	939	308	0.1930	19.5972033809872	20.3811540497618
13	45935	15179	928	309	0.2277	20.202459997823	20.3570722709006
14	43173	14327	851	296	0.26695	19.7113936951335	20.6602917568228
15	43902	15049	879	272	0.3154	20.0218668853355	18.0742906505416
16	38643	13608	826	268	0.3838	21.3751520327097	19.6942974720752
17	35291	13056	758	236	0.46645	21.4785639398147	18.0759803921569
18	34764	13156	718	302	0.5896	20.6535496490622	22.9553055640012
19	21040	8092	450	182	0.7433	21.3878326996198	22.4913494809689
