grp	N	S	n	s	dnds	fn	fs
0	19021	2728	352	56	0.0000	18.505861942064	20.5278592375367
1	41883	5733	640	101	0.0089	15.2806627987489	17.617303331589
2	48891	8086	790	161	0.0214	16.1583931602954	19.9109572099926
3	48393	9424	791	208	0.03325	16.3453392019507	22.0713073005093
4	51158	10594	868	231	0.0448	16.9670432776887	21.8047951670757
5	55480	12707	1004	244	0.05705	18.0966113914924	19.2020146376013
6	50748	11589	916	241	0.0710	18.0499724127059	20.7955820174303
7	46578	11317	844	227	0.0859	18.1201425565718	20.058319342582
8	52427	13918	987	265	0.1020	18.8261773513648	19.0400919672367
9	51184	14064	893	286	0.12155	17.4468583932479	20.3356086461888
10	49604	14415	947	275	0.1414	19.0912023223934	19.077349982657
11	50068	15092	962	301	0.1661	19.2138691379724	19.9443413729128
12	47982	15116	955	301	0.1929	19.9032970697345	19.9126753109288
13	45765	15174	933	289	0.22715	20.3867584398558	19.0457361275867
14	43455	14410	854	288	0.2671	19.6525140950408	19.9861207494795
15	43633	15022	875	309	0.3154	20.0536291339124	20.5698309146585
16	38354	13518	773	285	0.3849	20.1543515669813	21.0830004438526
17	35198	13031	821	226	0.46415	23.3251889311893	17.3432583838539
18	34525	13079	682	267	0.58975	19.7538015930485	20.414404771007
19	21335	8286	455	178	0.7432	21.3264588704007	21.4820178614531
