grp	N	S	n	s	dnds	fn	fs
0	20255	2787	351	66	0.0000	17.329054554431	23.6813778256189
1	43273	6008	632	117	0.0088	14.6049499688027	19.474034620506
2	50060	8208	770	163	0.0216	15.3815421494207	19.8586744639376
3	48496	9417	850	203	0.0333	17.5272187396899	21.5567590527769
4	51460	10647	878	255	0.0448	17.0617955693743	23.9504085657932
5	53971	12333	981	256	0.0570	18.1764280817476	20.757317765345
6	50459	11656	902	227	0.0707	17.8758992449315	19.4749485243651
7	46589	11348	835	209	0.086	17.9226856124836	18.4173422629538
8	53082	13958	1004	269	0.1020	18.9141328510606	19.2721020203468
9	50915	14096	946	271	0.1215	18.5799862515958	19.2253121452894
10	49234	14358	931	264	0.14135	18.9096965511638	18.3869619724196
11	50973	15240	969	300	0.1660	19.0100641516097	19.6850393700787
12	48598	15261	939	303	0.1929	19.3217827894152	19.8545311578534
13	45688	15117	956	304	0.2275	20.9245316056733	20.109810147516
14	43490	14399	856	270	0.26655	19.6826856748678	18.7513021737621
15	43041	14864	896	289	0.3152	20.8173601914454	19.4429494079656
16	38531	13648	775	282	0.38495	20.1136747034855	20.662368112544
17	35409	13101	787	225	0.4661	22.2259877432291	17.1742615067552
18	34372	13021	708	261	0.5896	20.5981612940766	20.0445434298441
19	21294	8273	443	187	0.7433	20.8039823424439	22.6036504291067
