grp	N	S	n	s	dnds	fn	fs
0	19786	2797	358	65	0	18.0936015364399	23.239184840901
1	40776	5703	634	105	0.0089	15.5483617814401	18.4113624408206
2	49550	8228	756	148	0.0215	15.2573158425832	17.9873602333495
3	47724	9278	799	186	0.03315	16.7421004106948	20.0474240137961
4	51264	10591	932	235	0.04465	18.1803995006242	22.1886507411954
5	55463	12607	963	251	0.0569	17.3629266357752	19.9095740461648
6	51124	11767	925	232	0.0709	18.0932634379157	19.7161553497068
7	48234	11651	892	213	0.0859	18.4931790852925	18.2816925585787
8	52530	13856	1041	269	0.1019	19.8172472872644	19.4139722863741
9	51216	14051	928	252	0.12155	18.1193377069666	17.9346665717743
10	49388	14349	944	280	0.1416	19.1139548068357	19.5135549515646
11	50988	15289	957	276	0.1661	18.7691221463874	18.0521943881222
12	47787	15045	961	301	0.19295	20.1100717768431	20.0066467264872
13	45812	15228	925	316	0.2275	20.1912162752117	20.7512477016023
14	42933	14213	855	285	0.2654	19.9147508909231	20.0520650109055
15	43541	14918	856	298	0.3154	19.6596311522473	19.9758680788309
16	38159	13481	741	284	0.3846	19.4187478707513	21.0666864475929
17	35280	13067	789	229	0.4647	22.3639455782313	17.5250631361445
18	35057	13213	726	238	0.5896	20.709130844054	18.0125633845455
19	21161	8236	462	184	0.7426	21.8326166060205	22.3409422049539
