grp	N	S	n	s	dnds	fn	fs
0	21723	2828	381	62	0	17.5390139483497	21.9236209335219
1	42176	6030	669	130	0.0089	15.8621016691958	21.558872305141
2	48846	8052	800	155	0.0216	16.3780043401711	19.2498758072529
3	48792	9366	783	219	0.0333	16.0477127397934	23.3824471492633
4	50062	10483	850	246	0.0447	16.9789461068275	23.4665649146237
5	54452	12462	937	250	0.0569	17.2078160581797	20.0609853956026
6	50331	11543	887	238	0.0708	17.623333532018	20.6185567010309
7	46874	11340	814	230	0.0861	17.3657038016811	20.2821869488536
8	52831	13988	1056	246	0.102	19.9882644659386	17.5865027166142
9	50662	14013	908	253	0.1215	17.9227034068927	18.0546635267252
10	49000	14281	946	305	0.14155	19.3061224489796	21.3570478257825
11	50967	15252	1006	289	0.1661	19.7382620126749	18.9483346446368
12	48049	15148	924	314	0.1930	19.2303689983142	20.7288090837074
13	45875	15197	950	316	0.2275	20.708446866485	20.7935776798052
14	43759	14470	885	285	0.26655	20.224410978313	19.6959225984796
15	42723	14770	897	290	0.31585	20.9957165929359	19.634394041977
16	38577	13628	726	272	0.38455	18.819503849444	19.9589081303199
17	35578	13179	795	205	0.46465	22.3452695485974	15.5550497002807
18	35241	13264	731	287	0.58955	20.7428847081524	21.6375150784077
19	21390	8292	427	184	0.74635	19.9625993454885	22.1900627110468
