grp	N	S	n	s	dnds	fn	fs
0	21646	2780	401	50	0	18.5253626536081	17.9856115107914
1	41325	5925	676	127	0.0089	16.3581367211131	21.4345991561181
2	49345	8004	768	128	0.0216	15.5638869186341	15.992003998001
3	47397	9258	779	196	0.0332	16.4356393864591	21.1708792395766
4	51059	10610	841	246	0.0449	16.4711412287746	23.1856738925542
5	54067	12400	939	237	0.0571	17.367340521945	19.1129032258065
6	49906	11622	878	239	0.0709	17.5930749809642	20.5644467389434
7	47172	11427	880	231	0.0861	18.6551344017638	20.2152796009451
8	53040	13971	999	276	0.1019	18.8348416289593	19.7552072149452
9	50559	13942	882	256	0.1215	17.4449652880793	18.3617845359346
10	49260	14365	968	278	0.1414	19.650832318311	19.3525931082492
11	50444	15131	991	320	0.166	19.6455475378638	21.1486352521314
12	48339	15176	946	297	0.1929	19.5701193653158	19.5703742751713
13	45770	15219	925	321	0.2274	20.2097443740441	21.0920559826533
14	43705	14483	895	289	0.2666	20.4782061549022	19.9544293309397
15	43090	14907	878	296	0.3151	20.3759572986772	19.8564432816797
16	38887	13717	789	258	0.38475	20.2895569213362	18.8087774294671
17	35034	12932	790	268	0.46415	22.5495233202032	20.7237859573152
18	34789	13143	708	272	0.58975	20.3512604558912	20.6954272236171
19	21348	8200	457	193	0.74325	21.4071575791643	23.5365853658537
