grp	N	S	n	s	dnds	fn	fs
0	20548	2719	363	51	0	17.6659528907923	18.7568959176168
1	41268	5873	628	122	0.00895	15.2176020160899	20.7730291162949
2	49389	8054	773	165	0.0216	15.6512583773715	20.4867146759374
3	47740	9192	762	213	0.03315	15.9614578969418	23.1723237597911
4	49907	10480	880	238	0.0448	17.6327970024245	22.7099236641221
5	53856	12318	923	244	0.0570	17.1382947118241	19.8084104562429
6	51185	11695	930	237	0.0710	18.1693855621764	20.2650705429671
7	46950	11397	823	226	0.0858	17.5292864749734	19.8297797666052
8	52955	14033	1040	284	0.1019	19.6393164007176	20.2380104040476
9	50935	14017	943	275	0.1215	18.5137920879552	19.6190340301063
10	48584	14198	1011	261	0.14155	20.8093199407212	18.382870826877
11	50352	15165	936	285	0.1658	18.5891325071497	18.7932739861523
12	48134	15098	918	336	0.1929	19.0717580088918	22.2546032587098
13	46507	15475	938	302	0.2269	20.1690068161782	19.5153473344103
14	43525	14443	884	285	0.2667	20.3101665709362	19.7327425050197
15	42739	14722	866	265	0.3149	20.2625236903063	18.0002717022144
16	38717	13647	800	275	0.3849	20.6627579616189	20.150948926504
17	34899	12932	743	245	0.4668	21.2900083096937	18.9452520878441
18	35263	13314	743	266	0.58955	21.0702435981057	19.9789695057834
19	21485	8342	440	179	0.7426	20.4794042355132	21.457684008631
