grp	N	S	n	s	dnds	fn	fs
0	21129	2775	395	62	0.0000	18.6946850300535	22.3423423423423
1	40084	5795	676	133	0.0091	16.8645843728171	22.9508196721311
2	49823	8127	766	167	0.0215	15.3744254661502	20.5487879906485
3	48535	9350	793	222	0.0333	16.3387246317091	23.7433155080214
4	50776	10536	884	230	0.0446	17.4097999054671	21.8299164768413
5	55065	12504	948	251	0.0571	17.2160174339417	20.0735764555342
6	50152	11576	893	224	0.0709	17.8058701547296	19.3503800967519
7	47024	11409	837	237	0.086	17.7994215719633	20.773073889035
8	52615	13893	991	273	0.102	18.8349330038962	19.6501835456705
9	51134	14130	936	293	0.1215	18.3048460906637	20.7360226468507
10	48907	14249	920	278	0.1416	18.8112131187765	19.5101410625307
11	50533	15154	950	286	0.1659	18.7995963034057	18.8729048436056
12	48412	15224	944	309	0.1929	19.4992976947864	20.2968996321598
13	44904	14934	873	302	0.2278	19.4414751469802	20.2223115039507
14	43145	14301	854	298	0.2668	19.7937188550238	20.8377036570869
15	43473	14949	886	269	0.3156	20.3804660363904	17.9945146832564
16	38424	13583	771	257	0.3849	20.0655840099938	18.9207097106677
17	35448	13098	801	264	0.46415	22.5964793500339	20.1557489693083
18	35139	13298	700	257	0.5896	19.9208856256581	19.3262144683411
19	21208	8251	451	177	0.7494	21.2655601659751	21.4519452187614
