grp	N	S	n	s	dnds	fn	fs
0	19701	2795	359	75	0	18.2224252576011	26.8336314847943
1	40387	5674	644	114	0.0089	15.945725109565	20.0916461050405
2	47059	7892	747	160	0.0215	15.8736904736607	20.273694880892
3	47889	9318	782	218	0.0332	16.3294284700035	23.3955784503112
4	51292	10684	856	255	0.0448	16.6887623800983	23.8674653687757
5	54749	12467	970	254	0.05705	17.7172185793348	20.3737867971445
6	50593	11619	916	251	0.0712	18.1052714802443	21.6025475514244
7	47291	11513	920	207	0.086	19.4540187350659	17.9796751498306
8	52443	13843	962	259	0.1019	18.3437255687127	18.7098172361482
9	50868	14065	888	283	0.1215	17.4569473932531	20.1208674013509
10	49104	14362	956	280	0.1413	19.4688823721082	19.4958919370561
11	50759	15164	976	288	0.1659	19.2281171811895	18.99235030335
12	47609	14954	920	349	0.193	19.3240773803272	23.3382372609335
13	45642	15147	958	312	0.2273	20.9894395512905	20.5981382451971
14	42998	14253	830	262	0.2662	19.3032234057398	18.3820949975444
15	43698	15050	863	310	0.3152	19.7491876058401	20.5980066445183
16	38807	13710	792	244	0.38455	20.4086891540186	17.7972283005106
17	35044	13000	788	249	0.4668	22.4860175779021	19.1538461538462
18	35174	13271	710	305	0.5895	20.1853641894581	22.9824429206541
19	21287	8240	424	176	0.751	19.9182599708742	21.3592233009709
