grp	N	S	n	s	dnds	fn	fs
0	20429	2774	337	67	0	16.4961574232708	24.1528478731074
1	42180	5848	680	115	0.0085	16.1213845424372	19.6648426812586
2	47695	7906	725	138	0.0215	15.2007547961002	17.455097394384
3	48073	9338	782	207	0.0333	16.2669273812743	22.1674876847291
4	50859	10636	887	252	0.04455	17.4403743683517	23.6931177134261
5	54443	12426	961	233	0.05685	17.6514887129659	18.7510059552551
6	51192	11703	932	220	0.0708	18.2059696827629	18.7985986499188
7	46952	11445	843	211	0.0859	17.9545067302777	18.435998252512
8	52557	13869	982	275	0.1020	18.6844759023536	19.8283942605812
9	50732	14002	916	287	0.1215	18.0556650634708	20.497071846879
10	49364	14398	960	279	0.14155	19.4473705534398	19.3776913460203
11	50515	15144	996	298	0.16595	19.7169157675938	19.6777601690438
12	48629	15267	894	314	0.19295	18.3840917970758	20.56723652322
13	45769	15181	962	313	0.2273	21.018593371059	20.6178776101706
14	43212	14276	920	296	0.26525	21.2903823012126	20.7340991874475
15	43569	14942	895	283	0.3151	20.5421285776584	18.9399009503413
16	38919	13695	779	253	0.38455	20.015930522367	18.4738955823293
17	35151	13015	751	230	0.4646	21.3649682797075	17.6719170188244
18	34727	13097	691	249	0.5895	19.8980620266651	19.0119874780484
19	21117	8229	415	190	0.7426	19.6524127480229	23.0890752217766
