grp	N	S	n	s	dnds	fn	fs
0	18727	2648	330	53	0	17.6216158487745	20.0151057401813
1	43574	6072	691	114	0.00885	15.8580805067242	18.7747035573123
2	48206	7943	752	157	0.0215	15.5997178774426	19.7658315497923
3	48037	9307	815	213	0.0333	16.9660886400067	22.885999785108
4	51333	10608	871	230	0.04455	16.9676426470302	21.6817496229261
5	54310	12393	987	240	0.0567	18.1734487203093	19.3657709997579
6	50019	11564	881	216	0.0711	17.6133069433615	18.6786579038395
7	46662	11353	891	242	0.0861	19.0947666195191	21.31595173082
8	52687	13922	996	259	0.1019	18.9040939890296	18.60364890102
9	50576	14035	889	271	0.1215	17.5775071180006	19.3088706804418
10	48836	14244	949	291	0.14145	19.4323859447948	20.4296545914069
11	51135	15301	969	313	0.1661	18.9498386623643	20.456179334684
12	48592	15308	955	310	0.1930	19.6534408956207	20.2508492291612
13	45298	15083	897	299	0.2275	19.8021987725727	19.8236425114367
14	43395	14426	824	307	0.26655	18.9883627145985	21.2810203798697
15	43769	14956	893	298	0.31585	20.4025680275994	19.9251136667558
16	38946	13735	820	266	0.3845	21.0547938170801	19.3665817255187
17	34970	12930	723	237	0.4661	20.674864169288	18.3294663573086
18	34178	12954	731	256	0.5896	21.3880273860378	19.7622356029026
19	21727	8390	515	190	0.7433	23.7032264003314	22.6460071513707
