grp	N	S	n	s	dnds	fn	fs
0	19056	2689	334	68	0	17.527287993283	25.2882112309409
1	43007	5961	672	104	0.0087	15.6253633129491	17.4467371246435
2	48983	8078	782	177	0.0214	15.9647224547292	21.9113641990592
3	48702	9531	813	216	0.0333	16.6933596156215	22.6628895184136
4	50480	10503	905	234	0.0449	17.9278922345483	22.2793487574979
5	54109	12378	947	243	0.0569	17.5017095122808	19.631604459525
6	50615	11660	880	231	0.0709	17.3861503506866	19.811320754717
7	46940	11487	854	234	0.0861	18.1934384320409	20.3708540088796
8	52570	13883	978	273	0.1019	18.6037664066958	19.664337679176
9	50998	14126	976	293	0.1215	19.1380054119769	20.741894379159
10	49408	14386	943	277	0.1416	19.0859779792746	19.2548310857778
11	50719	15221	988	317	0.1661	19.4798793351604	20.8264897181526
12	48273	15187	967	348	0.19225	20.0319018913264	22.9143346283005
13	45884	15173	975	278	0.22775	21.2492372068695	18.3220193765241
14	42526	14151	863	288	0.26695	20.293467525749	20.3519185923256
15	43741	15032	864	262	0.3151	19.752634827736	17.4294837679617
16	38676	13624	774	245	0.38475	20.0124107973937	17.982971227246
17	34964	12954	729	245	0.46645	20.850017160508	18.9130770418404
18	35095	13223	720	294	0.58955	20.515742983331	22.2339862361038
19	21391	8280	465	157	0.751	21.7381141601608	18.9613526570048
