grp	N	S	n	s	dnds	fn	fs
0	21355	2841	358	47	0.0000	16.7642238351674	16.5434706089405
1	40320	5909	625	121	0.00905	15.5009920634921	20.4772381113556
2	48844	8101	724	167	0.0215	14.8227008435018	20.6147389211208
3	48546	9330	797	207	0.0333	16.4174185308779	22.1864951768489
4	51096	10545	896	256	0.04475	17.5356192265539	24.2769084874348
5	53997	12392	935	244	0.0572	17.3157768024149	19.6901226597805
6	51157	11697	939	237	0.07085	18.3552592998026	20.261605539882
7	47527	11525	867	231	0.0859	18.2422622930124	20.0433839479393
8	53253	14051	997	267	0.1019	18.7219499370927	19.0022062486656
9	51334	14110	957	290	0.1215	18.6426150309736	20.5527994330262
10	49147	14335	945	287	0.1414	19.2280301951289	20.0209277990931
11	50438	15033	926	312	0.1658	18.359173638923	20.7543404510078
12	47591	15021	941	292	0.19225	19.7726460885462	19.4394514346581
13	46673	15489	977	299	0.2274	20.9328733957534	19.3040222093098
14	42943	14295	906	307	0.26655	21.0977342058077	21.4760405736271
15	43288	14925	844	272	0.3152	19.4973202735169	18.2244556113903
16	38375	13568	744	273	0.38315	19.3876221498371	20.1208726415094
17	35164	13057	775	254	0.46575	22.0395859401661	19.4531668836639
18	34823	13154	711	258	0.5895	20.4175401315223	19.6138056864832
19	21633	8385	448	191	0.7426	20.7091018351592	22.7787716159809
