grp	N	S	n	s	dnds	fn	fs
0	20330	2756	390	66	0	19.1834727004427	23.9477503628447
1	42306	5829	655	109	0.0089	15.4824374793174	18.69960542117
2	49269	8063	792	160	0.0216	16.0750167448091	19.8437306213568
3	48752	9434	803	208	0.0333	16.471119133574	22.0479118083528
4	51169	10660	905	236	0.0448	17.6864898669116	22.1388367729831
5	55601	12606	921	250	0.0569	16.5644502796712	19.8318261145486
6	50247	11562	912	236	0.0712	18.1503373335722	20.4116934786369
7	46488	11394	885	212	0.0861	19.0371708828085	18.6062840091276
8	52625	13919	950	263	0.1019	18.0522565320665	18.8950355628996
9	50953	14086	966	266	0.1215	18.9586481659569	18.8839982961806
10	49047	14306	939	284	0.1416	19.144901828858	19.8518104291906
11	49952	15100	954	308	0.1659	19.098334401025	20.3973509933775
12	48030	15101	935	344	0.1932	19.4669997917968	22.7799483477915
13	45977	15227	936	303	0.2275	20.3580050895013	19.8988638602482
14	43658	14471	889	295	0.2666	20.3628201016996	20.3855987837744
15	42876	14800	901	279	0.3148	21.0140871349939	18.8513513513514
16	38856	13749	730	277	0.3838	18.7873172740375	20.1469197759837
17	34836	12925	760	246	0.4647	21.8165116546102	19.0328820116054
18	34953	13222	680	280	0.58955	19.4546963064687	21.1768265012857
19	21374	8267	479	190	0.7420	22.4104051651539	22.9829442361195
