grp	N	S	n	s	dnds	fn	fs
0	19189	2709	370	68	0	19.2818802438897	25.1015134736065
1	43233	5930	688	125	0.0089	15.9137695741679	21.079258010118
2	49851	8155	814	148	0.0215	16.328659405027	18.1483752299203
3	48051	9220	782	196	0.0333	16.2743751430771	21.2581344902386
4	51151	10616	907	255	0.0448	17.731813649782	24.0203466465712
5	54138	12397	946	254	0.0570	17.4738630906203	20.4888279422441
6	50934	11660	907	232	0.0710	17.8073585424275	19.8970840480274
7	46619	11327	839	246	0.0859	17.996954031618	21.7180188929107
8	52970	13967	1006	261	0.1019	18.9918821974703	18.6869048471397
9	50799	13989	920	277	0.1215	18.1105927282033	19.8012724283365
10	48436	14173	884	275	0.1416	18.2508877694277	19.4030903831228
11	51282	15339	977	286	0.1661	19.0515190515191	18.6452832648804
12	48331	15247	937	331	0.19295	19.3871428275848	21.7091886928576
13	45807	15248	863	310	0.22715	18.8399152967887	20.3305351521511
14	43344	14332	903	286	0.2673	20.8333333333333	19.9553446832263
15	43324	14852	863	298	0.3156	19.9196750069246	20.0646377592243
16	38934	13775	794	264	0.3846	20.3934864129039	19.1651542649728
17	35480	13134	793	245	0.46645	22.3506200676437	18.653875437795
18	34865	13128	696	271	0.5899	19.9627133228166	20.642900670323
19	21159	8192	477	173	0.74635	22.5435984687367	21.1181640625
