grp	N	S	n	s	dnds	fn	fs
0	20479	2900	351	65	0.0000	17.1395087650764	22.4137931034483
1	41211	5660	662	120	0.00875	16.063672320497	21.2014134275618
2	48621	8072	797	157	0.0215	16.3920939511734	19.4499504459861
3	47950	9258	776	208	0.0332	16.1835245046924	22.4670555195507
4	50840	10608	926	236	0.0448	18.2140047206924	22.2473604826546
5	54695	12498	942	244	0.0569	17.2227808757656	19.523123699792
6	50944	11727	913	248	0.0712	17.9216394472362	21.1477786305108
7	46611	11386	867	207	0.0867	18.6007594773766	18.1802213244335
8	53056	13946	1033	267	0.10195	19.4699939686369	19.1452746307185
9	50776	13949	928	266	0.1216	18.2763510319836	19.0694673453294
10	48927	14179	882	295	0.14135	18.0268563369918	20.8054164609634
11	50904	15246	956	297	0.16605	18.7804494735188	19.4805194805195
12	48161	15183	926	326	0.1923	19.2271755154586	21.4713824672331
13	45735	15132	939	313	0.2274	20.5313217448344	20.6846418186624
14	43156	14381	892	301	0.2676	20.6692001112244	20.9303942702176
15	43113	14879	857	268	0.3152	19.8779950363	18.0119631695678
16	38294	13574	826	237	0.3846	21.5699587402726	17.459849712686
17	35457	13131	772	235	0.4646	21.7728516230928	17.8965806107684
18	35217	13287	703	283	0.58955	19.9619501945083	21.2990140739068
19	21267	8277	443	192	0.74635	20.8303945079231	23.1968104385647
