grp	N	S	n	s	dnds	fn	fs
0	20951	2909	370	61	0.0000	17.6602548804353	20.9694052939154
1	41931	5799	671	120	0.00865	16.0024802651976	20.6932229694775
2	49368	8088	768	157	0.0215	15.5566358774915	19.4114737883284
3	48143	9321	826	215	0.0333	17.1572191180442	23.0661946143118
4	50666	10440	899	245	0.0448	17.74365452177	23.4674329501916
5	54725	12541	983	230	0.05685	17.9625399725902	18.3398453073918
6	50351	11657	897	224	0.07065	17.8149391273262	19.2159217637471
7	46536	11348	826	190	0.0859	17.7496991576414	16.7430384208671
8	52798	13937	1031	295	0.1019	19.5272548202583	21.1666786252422
9	50974	13996	912	264	0.1217	17.8914740848276	18.8625321520434
10	48949	14307	893	292	0.14155	18.2434779055752	20.4095897113301
11	51272	15319	1034	305	0.16605	20.1669527227337	19.909915790848
12	48858	15329	950	323	0.1930	19.4441033198248	21.0711722878205
13	45651	15181	895	306	0.2276	19.6052660401744	20.1567749160134
14	42675	14131	861	267	0.26655	20.1757469244288	18.8946288302314
15	43134	14792	887	295	0.3152	20.5638243612927	19.9432125473229
16	38777	13732	741	281	0.38455	19.1092658018929	20.463151762307
17	35136	13037	787	221	0.46465	22.398679417122	16.9517527038429
18	34891	13162	729	255	0.5895	20.8936401937462	19.3739553259383
19	21491	8313	451	182	0.7494	20.9855288260202	21.893419944665
