grp	N	S	n	s	dnds	fn	fs
0	21345	2994	400	68	0	18.73975169829	22.7120908483634
1	42054	5640	671	104	0.0089	15.9556760355733	18.4397163120567
2	48383	8036	795	150	0.0215	16.4313911911208	18.6660029865605
3	48417	9484	839	199	0.0333	17.3286242435508	20.9827077182623
4	50894	10507	892	225	0.0448	17.526623963532	21.4142952317503
5	55075	12582	957	247	0.0571	17.3763050385837	19.6312192020347
6	50845	11648	949	234	0.0708	18.6645687874914	20.0892857142857
7	46696	11421	812	240	0.0861	17.3890697275998	21.0139217231416
8	53240	13986	1013	277	0.10195	19.0270473328325	19.8055198055198
9	50658	13989	919	283	0.1215	18.1412610051719	20.2301808563872
10	49341	14366	977	275	0.1414	19.8009768752153	19.1424196018377
11	50425	15031	965	287	0.1661	19.1373326722856	19.0938726631628
12	48469	15279	908	334	0.193	18.733623553199	21.8600693762681
13	45388	15010	885	313	0.2275	19.4985458711554	20.852764823451
14	43072	14255	895	285	0.2666	20.7791604754829	19.9929849175728
15	42997	14819	862	263	0.3153	20.0479103193246	17.7474863351103
16	38834	13679	819	252	0.38475	21.0897666992841	18.4223992981943
17	35211	13031	752	217	0.46715	21.3569623129136	16.6525976517535
18	34757	13160	720	263	0.5885	20.7152516039934	19.9848024316109
19	21010	8203	451	175	0.7432	21.4659685863874	21.3336584176521
