grp	N	S	n	s	dnds	fn	fs
0	20826	2914	387	73	0.0000	18.5825410544512	25.0514756348662
1	41157	5732	658	112	0.0089	15.9875598318634	19.5394277739009
2	48187	7996	762	159	0.0215	15.8133936538901	19.8849424712356
3	48189	9498	807	216	0.0333	16.7465604183527	22.7416298168035
4	51151	10507	857	248	0.0445	16.7543156536529	23.6033120776625
5	54965	12597	942	266	0.05685	17.1381788410807	21.1161387631976
6	50719	11666	929	202	0.07085	18.3166071886275	17.3152751585805
7	47591	11540	854	231	0.0861	17.9445693513479	20.0173310225303
8	52844	13913	956	277	0.1019	18.0909847854061	19.9094372169913
9	51311	14064	912	261	0.1215	17.7739665958566	18.5580204778157
10	49484	14443	976	259	0.14155	19.7235470050926	17.9325624870179
11	51057	15293	974	295	0.1659	19.0767181777229	19.2898711828941
12	48808	15354	932	311	0.1929	19.0952302901164	20.2553080630455
13	45256	15036	905	279	0.2276	19.9973484178893	18.5554668794892
14	43100	14290	872	287	0.26685	20.2320185614849	20.0839748075577
15	43107	14844	870	266	0.3154	20.1823369754332	17.9196981945567
16	39081	13775	784	277	0.3845	20.0608991581587	20.1088929219601
17	35524	13107	784	238	0.4647	22.0695867582479	18.1582360570687
18	34716	13098	753	283	0.58935	21.6902868994124	21.6063521148267
19	21377	8331	454	206	0.751	21.2377789212705	24.7269235385908
