grp	N	S	n	s	dnds	fn	fs
0	20105	2684	327	58	0.0000	16.264610793335	21.6095380029806
1	42328	5885	707	103	0.00865	16.7028917028917	17.5021240441801
2	48227	7893	790	157	0.0215	16.3808654902855	19.8910426960598
3	48447	9355	818	205	0.0333	16.8844304084876	21.9134152859433
4	50877	10607	869	224	0.0452	17.0804096153468	21.1181295370981
5	55000	12496	942	221	0.0570	17.1272727272727	17.6856594110115
6	50215	11668	894	255	0.0712	17.8034451857015	21.8546451834076
7	46817	11475	877	227	0.0859	18.73251169447	19.7821350762527
8	52624	13893	992	265	0.1019	18.8507145028884	19.0743539912186
9	50742	14101	945	287	0.1215	18.6236253990777	20.3531664420963
10	49365	14452	967	275	0.1416	19.5887774739188	19.0285081649599
11	50605	15186	935	277	0.1661	18.4764351348681	18.2404846569208
12	48210	15176	922	328	0.19295	19.1246629330014	21.6130732735899
13	45797	15175	900	305	0.2275	19.6519422669607	20.0988467874794
14	43061	14309	870	280	0.2672	20.2038967975662	19.5681039904955
15	43345	14932	857	279	0.3156	19.7715999538586	18.6847039914278
16	38870	13705	794	280	0.38455	20.4270645742218	20.4304998175848
17	35377	13123	748	243	0.4637	21.1436809226334	18.5171073687419
18	35091	13190	706	291	0.5896	20.1191188623864	22.0621683093252
19	21300	8260	454	177	0.7561	21.3145539906103	21.4285714285714
