grp	N	S	n	s	dnds	fn	fs
0	19340	2830	361	59	0.0000	18.6659772492244	20.8480565371025
1	42612	5858	651	120	0.0087	15.2773866516474	20.4848071013998
2	48865	8107	793	170	0.02155	16.2283843241584	20.9695325027754
3	48983	9482	779	203	0.0333	15.9034767164118	21.4089854461084
4	50163	10457	868	224	0.0449	17.3035902956362	21.4210576647222
5	54817	12493	944	258	0.05705	17.2209351113706	20.6515648763307
6	50769	11668	886	214	0.07085	17.4515944769446	18.3407610558793
7	46424	11397	840	219	0.0859	18.0940892641737	19.2155830481706
8	53166	14001	1037	276	0.1019	19.5049467704924	19.7128776515963
9	50760	14045	960	278	0.1216	18.9125295508274	19.7935208259167
10	49179	14348	949	264	0.14135	19.2968543484007	18.3997769724003
11	50860	15292	972	304	0.1661	19.1112858828156	19.8796756473973
12	48454	15222	883	311	0.1929	18.2234696825855	20.4309551964262
13	45303	15036	908	294	0.2275	20.0428227711189	19.5530726256983
14	43333	14370	868	281	0.26695	20.0309233147947	19.5546276965901
15	43980	15105	922	298	0.3158	20.9640745793543	19.7285666997683
16	38666	13633	762	253	0.3845	19.7072363316609	18.557910951368
17	35537	13139	802	234	0.4654	22.5680276894504	17.8095745490524
18	35131	13255	715	253	0.58935	20.3523953203723	19.0871369294606
19	21680	8367	484	171	0.74055	22.3247232472325	20.4374327716027
