grp	N	S	n	s	dnds	fn	fs
0	19958	2605	356	63	0	17.8374586631927	24.1842610364683
1	40370	5906	623	106	0.0089	15.4322516720337	17.9478496444294
2	49743	8184	774	172	0.0215	15.5599782884024	21.0166177908113
3	48632	9435	785	213	0.0332	16.1416351373581	22.5755166931638
4	50816	10577	891	224	0.0448	17.5338476070529	21.1780277961615
5	54494	12418	977	233	0.0568	17.9285792931332	18.7630858431309
6	49565	11495	903	225	0.0712	18.2185009583375	19.573727707699
7	46915	11323	892	220	0.0859	19.0131088138122	19.4294798198357
8	52720	13914	993	279	0.1019	18.8353566009105	20.0517464424321
9	50625	14011	982	288	0.1218	19.3975308641975	20.5552779958604
10	49600	14495	968	284	0.1415	19.5161290322581	19.5929630907209
11	51131	15282	987	287	0.1661	19.3033580411101	18.7802643633032
12	48021	15055	912	337	0.1929	18.9916911351284	22.3845898372634
13	46015	15197	896	291	0.2274	19.4719113332609	19.1485161545042
14	43648	14483	931	287	0.2666	21.3297287390029	19.8163363943934
15	42925	14835	851	265	0.3159	19.8252766453116	17.8631614425345
16	38530	13602	804	257	0.38455	20.8668569945497	18.894280252904
17	34892	12998	776	253	0.4646	22.2400550269403	19.4645330050777
18	34576	13055	697	276	0.5899	20.1584914391485	21.1413251627729
19	21425	8276	469	171	0.7433	21.8903150525088	20.6621556307395
