grp	N	S	n	s	dnds	fn	fs
0	20460	2817	372	56	0.0000	18.1818181818182	19.8793042243521
1	41727	5775	644	121	0.00875	15.4336520718	20.952380952381
2	48949	8080	740	169	0.0215	15.1177756440377	20.9158415841584
3	46953	9148	787	206	0.0333	16.7614422933572	22.5185832968955
4	50851	10555	895	225	0.0446	17.600440502645	21.3169114163903
5	55606	12671	979	259	0.0570	17.6060137395245	20.4403756609581
6	50779	11590	900	254	0.0712	17.723862226511	21.9154443485764
7	46611	11394	832	232	0.0861	17.8498637660638	20.3615938213095
8	53460	14085	1012	275	0.1019	18.9300411522634	19.5243166489173
9	50990	14064	919	277	0.12155	18.0231417925083	19.6956769055745
10	49485	14421	941	283	0.1415	19.0158633929474	19.6241592122599
11	50963	15313	999	325	0.16615	19.6024566842611	21.2237967739829
12	47912	15015	929	301	0.193	19.3897144765403	20.04662004662
13	46390	15473	912	293	0.2276	19.6594093554645	18.9362114651328
14	42947	14292	893	271	0.26695	20.7930705287913	18.9616568709768
15	42936	14731	845	282	0.3151	19.6804546301472	19.1433032380694
16	38999	13773	812	276	0.38495	20.821046693505	20.039207144413
17	35252	13018	738	244	0.46465	20.9349824123454	18.7432785374097
18	34894	13093	695	263	0.58905	19.9174643205136	20.0870694264111
19	21396	8274	459	218	0.7420	21.4526079641054	26.3475948755137
